dataset_id,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa
15,0.6318051575931232,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9293179372497983,0.9249080432694923,0.08869814020028613,0.8107527445175151,0.01430615164520744,,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,0.9269600826251608,0.055793991416309016,0.876873811577773,65.52217453505007,458.0,,12.6578780670256,4.417739628040058,,2.0,3.560657844495268,3.643857160492903,,1.6841150960407236,3.1357041002822355,,,2.0,1.477488666731089,2.7510805456186183,,-0.7988441354436415,1.589413447782546,,2.0,0.5928585326862892,1.7150779425067932,34.47782546494993,241.0,0.9883078465880973,0.04005722460658083,0.9125445722405428,1.0,2.0,10.0,699.0,16.0,16.0,9.0,1.0,10.0,2.28898426323319,0.22889842632331905,90.0,10.0,,-0.3083522161398966,2.836909871244634,,1.0449923682055797,2.3263320694866376,,0.18462131150511896,3.2074391988555093,,1.233136557961704,2.85537923921701,,1.57850674634774,3.49121208503258,,1.618319946298536,3.0525465017834734,0.952780445378608,0.055793991416309016,0.8756551129599474,0.952780445378608,0.055793991416309016,0.8756551129599474,0.952780445378608,0.055793991416309016,0.8756551129599474,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.9516904855835366,0.044349070100143065,0.9017452695441621,0.0,0.9752215115330954,0.04291845493562232,0.9044446672195541
1489,0.5918933925596891,0.8550177462963318,0.1815321983715766,0.5579430305860378,0.8550177462963318,0.1815321983715766,0.5579430305860378,0.8550177462963318,0.1815321983715766,0.5579430305860378,0.8731822577241406,0.7404866739285669,0.24740932642487046,0.4488154160690855,0.0011102886750555144,,0.8678687005272036,0.16894892672094744,0.5893493980716988,0.8678687005272036,0.16894892672094744,0.5893493980716988,0.8678687005272036,0.16894892672094744,0.5893493980716988,70.65136935603256,3818.0,,1.7651174033134938,6.1065877123851385e-09,,2.0,1.482393052784835,1.0000000160707985,,0.33974898860956887,-1.2287194680574282e-08,,,2.0,0.7794652586095029,1.000000004616722,,-0.8572834809909309,-6.698741675291565e-08,,2.0,0.2094948505005711,0.9999999984765442,29.348630643967432,1586.0,0.8173487304115306,0.24037749814951886,0.46338464605596114,1.0,2.0,6.0,5404.0,0.0,0.0,5.0,1.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664,,-0.6590595801379302,-3.821243527730011e-08,,0.34288338170102217,0.9999999997309185,,-0.3066496518690336,3.3308660617082098e-09,,0.4842310006900062,1.000000003087631,,1.6617568775963694,5.829015545010302e-09,,1.363664264477732,1.000000010267071,0.8756328290298097,0.1659881569207994,0.5893753379948957,0.8756328290298097,0.1659881569207994,0.5893753379948957,0.8756328290298097,0.1659881569207994,0.5893753379948957,0.8065602505421655,0.15562546262028126,0.6203230053600308,0.8065602505421655,0.15562546262028126,0.6203230053600308,0.8065602505421655,0.15562546262028126,0.6203230053600308,0.0,0.8367145868412517,0.12675795706883788,0.6877227093332758
46653,1.0,,,,,,,,,,,,,,7.132413252023823e-05,,,,,,,,,,,12.620805249456154,10617.0,,,,,,,,,,,,,,,,,,,,,,,0.7952640776006561,669.0,,,,0.0,30.0,6.0,84123.0,5607.0,5644.0,2.0,0.0,0.0,6.665240184016262,1.118203899845068,33.33333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41754,0.5128345166575642,,,,,,,,,,,,,,0.006550218340611353,,,,,,,,,,,51.09170305676856,936.0,,,,,,,,,,,,,,,,,,,,,,,48.90829694323144,896.0,,,,1.0,2.0,12.0,1832.0,0.0,0.0,11.0,1.0,8.333333333333332,0.0,0.0,91.66666666666666,8.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40693,0.5853909465020576,,,,,,,,,,0.9158790625676119,,,,0.010277492291880781,31.060162692384107,,,,,,,,,,66.90647482014388,651.0,0.9999992380632182,,,0.03177732484719,2.0,,,0.999945054163524,,,0.029487259021736666,32.91108863073404,2.0,,,0.9997797891043911,,,0.02672927909217,2.0,,,33.093525179856115,322.0,,,,10.0,2.0,10.0,973.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,100.0,0.9999078037016704,,,0.028402708693915,,,0.9999809514999747,,,0.02919545937577,,,0.9999931425593067,,,0.03098839583932,,,,,,,,,,,,,,,,,,,,,0.0,,,
41146,0.500097599063049,,,,,,,,,,1.0,,,,0.004098360655737705,,,,,,,,,,,50.0,2562.0,,4.52243918035926,3150.841139734582,,2.0,1.7621452104644433,1563.3652459778548,,0.9315382097063746,857.3030347384856,,,2.0,0.10824688764152054,422.4360492351612,,-1.2246871994479995,14.055035128805615,,2.0,-1.1687953268436349,7.288302941592931,50.0,2562.0,,,,1.0,2.0,21.0,5124.0,0.0,0.0,20.0,1.0,4.761904761904762,0.0,0.0,95.23809523809523,4.761904761904762,,-0.4282019088024358,153.8578747072599,,-1.0537858531792559,25.373530509066324,,1.0269961764631916,218.46555425448867,,0.44240844499765697,90.67149673577157,,1.8263161641846049,2267.269613583138,,0.8898275839774077,980.4517672928455,,,,,,,,,,,,,,,,,,,0.0,,,
44565,0.49374687343671836,,,,,,,,,,,,,,0.0505,,,,,,,,,,,50.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,50.0,1000.0,,,,1.0,2.0,101.0,2000.0,0.0,0.0,100.0,1.0,0.9900990099009901,0.0,0.0,99.00990099009901,0.9900990099009901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41164,0.16682855755220982,,,,,,,,,,2.704628358293916,,,,0.09724414228481243,,,,,,,,,,,23.394439723200193,1927.0,,8237.000000001402,0.018199578657278323,,7.0,90.75791976462757,0.1106866779788992,,415.5618311337193,0.005029448735477116,,,7.0,16.97826230381708,0.05578013895062586,,45.63494128012219,0.0,,7.0,6.224812186661377,0.0,6.094451863542552,502.0,,,,0.0,7.0,801.0,8237.0,0.0,0.0,800.0,1.0,0.0,0.0,0.0,99.87515605493134,0.12484394506866417,,154.78472872479165,0.002987211560641019,,11.995388318925714,0.04364022616656093,,224.3963982490122,0.0046609727024401835,,14.372948103156379,0.055572935344425756,,360.40060628653123,0.006696875798227546,,18.292751296396823,0.06848731526788178,,,,,,,,,,,,,,,,,,,0.0,,,
54,0.2579881656804734,0.8287300415025641,0.3191489361702128,0.5743705558785386,0.8287300415025641,0.3191489361702128,0.5743705558785386,0.8287300415025641,0.3191489361702128,0.5743705558785386,1.9990667655343635,0.6492864709981353,0.5957446808510638,0.2121027335369673,0.022458628841607566,,0.8316733859441372,0.3108747044917258,0.5850953729793031,0.8316733859441372,0.3108747044917258,0.5850953729793031,0.8316733859441372,0.3108747044917258,0.5850953729793031,25.768321513002363,218.0,,58.37545547363169,439.9113475177304,,4.0,6.778393619108969,176.69261361302284,,5.153140516514768,117.6349487785658,,,4.0,1.0415777283622756,22.770839172096306,,-0.9784712963069797,6.377068557919621,,4.0,-0.22634128032982506,2.5921383276847254,23.52245862884161,199.0,0.7665561841837499,0.5449172576832151,0.27869634693062273,0.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,94.73684210526315,5.263157894736842,,-0.7809324382806175,35.846040189125304,,0.2544045720298823,6.168386543971383,,-0.44165451580509285,87.88356973995272,,0.49824273394603363,8.06136271270135,,0.1641613631458576,178.1838061465721,,0.789303136311914,31.682749869316492,0.8786505597009364,0.31678486997635935,0.5772957352598461,0.8786505597009364,0.31678486997635935,0.5772957352598461,0.8786505597009364,0.31678486997635935,0.5772957352598461,0.790527508168895,0.3132387706855792,0.5820719121901752,0.790527508168895,0.3132387706855792,0.5820719121901752,0.790527508168895,0.3132387706855792,0.5820719121901752,0.0,0.7865899875047911,0.3191489361702128,0.5741729817398842
44573,0.3939393939393939,,,,,,,,,,,,,,1.01,,,,,,,,,,,56.00000000000001,56.0,,,,,,,,,,,,,,,,,,,,,,,44.0,44.0,,,,1.0,2.0,101.0,100.0,0.0,0.0,100.0,1.0,0.9900990099009901,0.0,0.0,99.00990099009901,0.9900990099009901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
