dataset_id,flow_name,accuracy
3,weka.J48,0.994681
3,weka.ZeroR,0.522215
3,weka.OneR,0.674593
3,weka.PART,0.9903
3,weka.OLM,0.567584
3,weka.REPTree,0.9903
3,weka.BayesNet_K2,0.874218
3,weka.Logistic,0.974343
3,weka.Ridor,0.883917
3,weka.BayesNet_K2,0.874218
3,weka.FilteredClassifier_Standardize_NaiveBayes,0.874218
3,weka.LibSVM,0.938673
3,weka.J48,0.996245
3,weka.DecisionStump,0.660513
3,weka.HoeffdingTree,0.938673
3,weka.MultilayerPerceptron,0.993429
3,weka.Logistic,0.974343
3,weka.A1DE,0.914894
3,weka.LogitBoost_DecisionStump,0.970901
3,weka.NaiveBayes,0.874218
3,weka.OneR,0.674593
3,weka.DecisionStump,0.660513
3,weka.J48,0.994681
3,weka.RandomForest,0.990926
3,weka.AdaBoostM1_DecisionStump,0.954318
3,weka.SMO_PolyKernel,0.996558
3,weka.IBk,0.961514
3,weka.LADTree,0.961827
3,weka.RBFClassifier,0.950876
3,weka.Bagging_J48,0.994368
6,weka.J48,0.87795
6,weka.ZeroR,0.04065
6,weka.OneR,0.172
6,weka.PART,0.8865
6,weka.OLM,0.4019
6,weka.REPTree,0.8457
6,weka.BayesNet_K2,0.74345
6,weka.Logistic,0.7736
6,weka.Ridor,0.0
6,weka.BayesNet_K2,0.74345
6,weka.FilteredClassifier_Standardize_NaiveBayes,0.64105
6,weka.LibSVM,0.97485
6,weka.J48,0.8856
6,weka.DecisionStump,0.0709
6,weka.HoeffdingTree,0.64205
6,weka.MultilayerPerceptron,0.8388
6,weka.Logistic,0.7736
6,weka.A1DE,0.9127
6,weka.LogitBoost_DecisionStump,0.8766
6,weka.NaiveBayes,0.64105
6,weka.OneR,0.172
6,weka.DecisionStump,0.0709
6,weka.J48,0.8785
6,weka.RandomForest,0.96295
6,weka.AdaBoostM1_DecisionStump,0.0709
6,weka.SMO_PolyKernel,0.9569
6,weka.IBk,0.95995
6,weka.LADTree,0.5082
6,weka.RBFClassifier,0.26105
6,weka.Bagging_J48,0.9422
11,weka.J48,0.768
11,weka.ZeroR,0.4576
11,weka.OneR,0.584
11,weka.PART,0.8208
11,weka.OLM,0.3712
11,weka.REPTree,0.7744
11,weka.BayesNet_K2,0.7264
11,weka.Logistic,0.896
11,weka.Ridor,0.8032
11,weka.BayesNet_K2,0.7264
11,weka.FilteredClassifier_Standardize_NaiveBayes,0.9072
11,weka.LibSVM,0.896
11,weka.J48,0.7776
11,weka.DecisionStump,0.584
11,weka.HoeffdingTree,0.9072
11,weka.MultilayerPerceptron,0.9664
11,weka.Logistic,0.896
11,weka.A1DE,0.7136
11,weka.LogitBoost_DecisionStump,0.9648
11,weka.NaiveBayes,0.9072
11,weka.OneR,0.584
11,weka.DecisionStump,0.584
11,weka.J48,0.7936
11,weka.RandomForest,0.8192
11,weka.AdaBoostM1_DecisionStump,0.7216
11,weka.SMO_PolyKernel,0.9936
11,weka.IBk,0.9008
11,weka.LADTree,0.8352
11,weka.RBFClassifier,0.8656
11,weka.Bagging_J48,0.8352
12,weka.J48,0.8895
12,weka.ZeroR,0.1
12,weka.OneR,0.389
12,weka.PART,0.8985
12,weka.OLM,0.106
12,weka.REPTree,0.8765
12,weka.BayesNet_K2,0.9335
12,weka.Logistic,0.9795
12,weka.Ridor,0.8735
