task_id,feature_type,pipeline,ndcg@5,ndcg@10,ndcg@20
3,metafeatx,adaboost,0.39999999999999997,0.5,0.45
6,metafeatx,adaboost,0.5999999999999999,0.5,0.65
11,metafeatx,adaboost,0.39999999999999997,0.6,0.75
12,metafeatx,adaboost,0.19999999999999998,0.5,0.75
14,metafeatx,adaboost,0.39999999999999997,0.3,0.7
15,metafeatx,adaboost,0.39999999999999997,0.5,0.85
16,metafeatx,adaboost,0.5999999999999999,0.7,0.8
18,metafeatx,adaboost,0.19999999999999998,0.1,0.05
22,metafeatx,adaboost,0.19999999999999998,0.3,0.35
23,metafeatx,adaboost,0.5999999999999999,0.6,0.75
28,metafeatx,adaboost,0.39999999999999997,0.8,0.9
29,metafeatx,adaboost,0.19999999999999998,0.2,0.35
31,metafeatx,adaboost,0.39999999999999997,0.6,0.6
32,metafeatx,adaboost,0.5999999999999999,0.8,1.0
37,metafeatx,adaboost,0.19999999999999998,0.3,0.35
43,metafeatx,adaboost,0.39999999999999997,0.2,0.4
45,metafeatx,adaboost,0.39999999999999997,0.6,0.85
49,metafeatx,adaboost,0.5999999999999999,0.4,0.6
53,metafeatx,adaboost,0.19999999999999998,0.2,0.6
219,metafeatx,adaboost,0.7999999999999999,0.6,0.75
2074,metafeatx,adaboost,0.39999999999999997,0.6,0.8
2079,metafeatx,adaboost,0.39999999999999997,0.7,0.9
3021,metafeatx,adaboost,0.19999999999999998,0.2,0.75
3022,metafeatx,adaboost,0.19999999999999998,0.1,0.2
3481,metafeatx,adaboost,0.5999999999999999,0.7,0.65
3549,metafeatx,adaboost,0.5999999999999999,0.5,0.7
3560,metafeatx,adaboost,0.7999999999999999,0.7,0.8
3573,metafeatx,adaboost,0.19999999999999998,0.3,0.35
3902,metafeatx,adaboost,0.19999999999999998,0.1,0.45
3903,metafeatx,adaboost,0.19999999999999998,0.1,0.35
3904,metafeatx,adaboost,0.19999999999999998,0.3,0.55
3913,metafeatx,adaboost,0.7999999999999999,0.6,0.6
3917,metafeatx,adaboost,0.39999999999999997,0.7,0.75
3918,metafeatx,adaboost,0.5999999999999999,0.8,0.75
7592,metafeatx,adaboost,0.19999999999999998,0.7,0.65
9910,metafeatx,adaboost,0.19999999999999998,0.2,0.45
9946,metafeatx,adaboost,0.5999999999999999,0.6,0.7
9952,metafeatx,adaboost,0.19999999999999998,0.1,0.25
9957,metafeatx,adaboost,0.5999999999999999,0.7,0.75
9960,metafeatx,adaboost,0.19999999999999998,0.2,0.3
9964,metafeatx,adaboost,0.39999999999999997,0.4,0.55
9971,metafeatx,adaboost,0.19999999999999998,0.1,0.15
9976,metafeatx,adaboost,0.19999999999999998,0.4,0.55
9977,metafeatx,adaboost,0.19999999999999998,0.2,0.45
9978,metafeatx,adaboost,0.39999999999999997,0.4,0.55
9981,metafeatx,adaboost,0.19999999999999998,0.1,0.15
9985,metafeatx,adaboost,0.19999999999999998,0.5,0.6
10093,metafeatx,adaboost,0.7999999999999999,0.6,0.6
10101,metafeatx,adaboost,0.19999999999999998,0.1,0.4
14952,metafeatx,adaboost,0.19999999999999998,0.1,0.25
14954,metafeatx,adaboost,0.5999999999999999,0.5,0.65
14965,metafeatx,adaboost,0.39999999999999997,0.6,0.75
14969,metafeatx,adaboost,0.7999999999999999,0.8,0.8
14970,metafeatx,adaboost,0.19999999999999998,0.2,0.65
125920,metafeatx,adaboost,0.19999999999999998,0.1,0.05
125922,metafeatx,adaboost,0.39999999999999997,0.6,0.75
146195,metafeatx,adaboost,0.39999999999999997,0.4,0.5
146800,metafeatx,adaboost,0.19999999999999998,0.1,0.25
146817,metafeatx,adaboost,0.19999999999999998,0.1,0.25
146819,metafeatx,adaboost,0.19999999999999998,0.1,0.25
146820,metafeatx,adaboost,0.5999999999999999,0.6,0.75
146821,metafeatx,adaboost,0.19999999999999998,0.3,0.35
146824,metafeatx,adaboost,0.39999999999999997,0.6,0.85
167125,metafeatx,adaboost,0.19999999999999998,0.1,0.2
3,handcrafted,adaboost,0.39999999999999997,0.5,0.45
6,handcrafted,adaboost,0.5999999999999999,0.7,0.6
11,handcrafted,adaboost,0.39999999999999997,0.2,0.35
12,handcrafted,adaboost,0.39999999999999997,0.4,0.6
14,handcrafted,adaboost,0.19999999999999998,0.1,0.55
15,handcrafted,adaboost,0.39999999999999997,0.5,0.6
16,handcrafted,adaboost,0.19999999999999998,0.4,0.6
18,handcrafted,adaboost,0.19999999999999998,0.2,0.2
22,handcrafted,adaboost,0.19999999999999998,0.1,0.5
23,handcrafted,adaboost,0.5999999999999999,0.4,0.45
28,handcrafted,adaboost,0.39999999999999997,0.5,0.7
29,handcrafted,adaboost,0.19999999999999998,0.5,0.5
31,handcrafted,adaboost,0.39999999999999997,0.5,0.45
32,handcrafted,adaboost,0.5999999999999999,0.6,0.7
37,handcrafted,adaboost,0.19999999999999998,0.2,0.45
43,handcrafted,adaboost,0.19999999999999998,0.2,0.5
45,handcrafted,adaboost,0.19999999999999998,0.3,0.6
49,handcrafted,adaboost,0.19999999999999998,0.3,0.55
53,handcrafted,adaboost,0.19999999999999998,0.2,0.45
219,handcrafted,adaboost,0.5999999999999999,0.6,0.55
2074,handcrafted,adaboost,0.39999999999999997,0.5,0.65
2079,handcrafted,adaboost,0.39999999999999997,0.4,0.45
3021,handcrafted,adaboost,0.19999999999999998,0.2,0.55
3022,handcrafted,adaboost,0.19999999999999998,0.5,0.6
3481,handcrafted,adaboost,0.39999999999999997,0.3,0.4
3549,handcrafted,adaboost,0.39999999999999997,0.4,0.65
3560,handcrafted,adaboost,0.5999999999999999,0.3,0.4
3573,handcrafted,adaboost,0.19999999999999998,0.1,0.35
3902,handcrafted,adaboost,0.19999999999999998,0.4,0.55
3903,handcrafted,adaboost,0.39999999999999997,0.6,0.7
3904,handcrafted,adaboost,0.5999999999999999,0.5,0.35
3913,handcrafted,adaboost,0.5999999999999999,0.3,0.45
3917,handcrafted,adaboost,0.5999999999999999,0.5,0.55
3918,handcrafted,adaboost,0.5999999999999999,0.6,0.6
7592,handcrafted,adaboost,0.39999999999999997,0.2,0.3
9910,handcrafted,adaboost,0.19999999999999998,0.3,0.45
9946,handcrafted,adaboost,0.5999999999999999,0.5,0.8
9952,handcrafted,adaboost,0.19999999999999998,0.2,0.5
