task_id,predictive_accuracy,classifier__algorithm,classifier__base_estimator__max_depth,classifier__learning_rate,classifier__n_estimators,imputation__strategy
3.0,0.9974968710888611,SAMME.R,7,1.5940294909769086,159,most_frequent
3.0,0.9974968710888611,SAMME,4,1.5341118149137931,282,median
3.0,0.9974968710888611,SAMME.R,4,1.6259895347105222,312,median
3.0,0.9971839799749687,SAMME,9,0.2855226647033973,111,most_frequent
3.0,0.9971839799749687,SAMME,10,0.135145320514768,317,most_frequent
3.0,0.9971839799749687,SAMME,10,0.031146945054746016,313,median
3.0,0.9971839799749687,SAMME,10,0.040263443407232924,342,most_frequent
3.0,0.9971839799749687,SAMME,10,0.07295505609473144,490,median
3.0,0.9971839799749687,SAMME,8,0.3208057699106632,229,most_frequent
3.0,0.9971839799749687,SAMME,10,0.030672454475205422,383,median
3.0,0.9971839799749687,SAMME.R,8,1.4003485961262099,129,mean
3.0,0.9971839799749687,SAMME,10,0.07271099728975693,135,mean
3.0,0.9971839799749687,SAMME.R,5,1.1148989258239625,199,mean
3.0,0.9971839799749687,SAMME,10,1.6841065187031592,89,most_frequent
3.0,0.9971839799749687,SAMME.R,3,1.153676956647103,494,mean
3.0,0.9971839799749687,SAMME.R,4,0.5171132771912355,132,mean
3.0,0.9971839799749687,SAMME.R,4,1.059449925388973,425,median
3.0,0.9971839799749687,SAMME,9,0.13121968082045643,102,mean
3.0,0.9971839799749687,SAMME.R,3,1.3508885625848155,482,most_frequent
3.0,0.9971839799749687,SAMME,4,1.1614674975155594,388,mean
6.0,0.97485,SAMME,10,0.6312454996783836,333,mean
6.0,0.9748,SAMME,10,0.8897250401148711,500,most_frequent
6.0,0.9748,SAMME,9,0.6778553719817492,381,mean
6.0,0.9747499999999999,SAMME,10,0.5298959982434117,358,most_frequent
6.0,0.9747,SAMME,10,0.6986630100830794,303,most_frequent
6.0,0.97465,SAMME,10,0.3954771005828339,376,mean
6.0,0.97465,SAMME,10,0.659804608236122,469,most_frequent
6.0,0.9745999999999999,SAMME,10,0.4292849698033646,434,most_frequent
6.0,0.97455,SAMME,10,0.41017077331341495,394,median
6.0,0.97455,SAMME,9,0.6629228865889945,442,median
6.0,0.97455,SAMME,10,0.3928985352061182,484,mean
6.0,0.9745,SAMME,10,0.5182087359154484,332,most_frequent
6.0,0.9744499999999999,SAMME,10,0.72413144677151,377,mean
6.0,0.9744499999999999,SAMME,10,0.4466832116605176,497,most_frequent
6.0,0.9743999999999999,SAMME,10,0.3900317904077056,439,median
6.0,0.97435,SAMME,10,0.43388126047667824,335,most_frequent
6.0,0.9743,SAMME,10,0.3859415993026168,264,median
6.0,0.9743,SAMME,10,0.3995784637611569,356,most_frequent
6.0,0.9743,SAMME,10,0.5095240906512972,364,most_frequent
6.0,0.97425,SAMME,10,1.181339932178934,492,most_frequent
11.0,0.9216,SAMME.R,1,0.658772906151692,322,mean
11.0,0.9216,SAMME.R,1,0.17996424980462522,368,most_frequent
11.0,0.9216,SAMME.R,1,0.1017411786538027,253,most_frequent
11.0,0.9216,SAMME.R,1,0.9743265592961255,169,most_frequent
11.0,0.92,SAMME.R,1,0.6373246621761313,344,most_frequent
11.0,0.9184,SAMME.R,1,0.40455963664331873,162,most_frequent
11.0,0.9184,SAMME.R,1,0.43557494142820363,496,median
11.0,0.9168000000000001,SAMME.R,1,0.07807939303494413,251,mean
11.0,0.9168000000000001,SAMME.R,1,0.23911438239721303,464,median
11.0,0.9136,SAMME.R,1,0.07699371993575578,264,median
11.0,0.8992,SAMME.R,2,0.02608180579313698,343,most_frequent
11.0,0.8992,SAMME.R,1,0.19623427978819938,66,mean
11.0,0.8976000000000001,SAMME.R,2,0.7706037294577842,430,mean
11.0,0.8944,SAMME.R,2,0.0660491287842873,202,most_frequent
11.0,0.8928,SAMME.R,2,1.0430103588206605,209,median
11.0,0.8896,SAMME,2,0.2420856654676239,151,median
11.0,0.8896,SAMME.R,2,0.674091722138049,240,median
11.0,0.888,SAMME,2,1.2736674782657946,389,mean
11.0,0.8864,SAMME,1,0.4117197384671029,96,most_frequent
11.0,0.8848,SAMME.R,2,1.1332111570405359,160,most_frequent
12.0,0.978,SAMME.R,10,0.8085437849084398,421,mean
12.0,0.978,SAMME,10,1.4396765675565537,410,most_frequent
12.0,0.9775,SAMME,8,0.700505000785958,442,mean
12.0,0.9775,SAMME.R,6,0.6194791188487068,343,median
12.0,0.9775,SAMME,9,0.38423262322142115,401,most_frequent
12.0,0.9775,SAMME,5,0.7738836908473291,433,most_frequent
12.0,0.977,SAMME,10,0.40512751782867173,292,mean
12.0,0.977,SAMME,9,0.4574985138546725,357,mean
12.0,0.977,SAMME.R,7,0.6856614577869724,456,median
12.0,0.977,SAMME,10,0.48410721738023416,239,mean
12.0,0.977,SAMME,8,0.3592040526760456,293,median
12.0,0.977,SAMME,7,1.6923321792722243,461,most_frequent
12.0,0.977,SAMME,8,0.41856163436880306,357,mean
12.0,0.9765,SAMME,8,0.5833565725677029,237,most_frequent
12.0,0.9765,SAMME,6,0.5989185239578865,401,median
12.0,0.9765,SAMME.R,8,0.8712271797951923,248,most_frequent
12.0,0.976,SAMME.R,7,0.7774958356520323,478,mean
12.0,0.976,SAMME,9,1.3886316154328286,116,most_frequent
12.0,0.976,SAMME.R,9,1.2242923860705455,277,median
12.0,0.9754999999999999,SAMME,5,0.7796185161108767,357,mean
14.0,0.846,SAMME,9,0.45554295865956207,81,mean
14.0,0.8454999999999999,SAMME,8,0.25162760141482127,243,median
