task_id,predictive_accuracy,classifier__bootstrap,classifier__criterion,classifier__max_features,classifier__min_samples_leaf,classifier__min_samples_split,imputation__strategy
3.0,0.9965581977471839,False,entropy,0.3271241431655659,1,2,mean
3.0,0.9965581977471839,False,entropy,0.46957940638124585,1,2,mean
3.0,0.9962453066332917,True,entropy,0.5241837223334499,1,4,median
3.0,0.9962453066332917,False,gini,0.3741504110298347,1,19,most_frequent
3.0,0.9962453066332917,False,gini,0.8904267970730987,1,2,mean
3.0,0.9962453066332917,True,gini,0.5300443036424823,1,7,mean
3.0,0.9962453066332917,False,gini,0.3328524122071349,1,11,most_frequent
3.0,0.9962453066332917,False,gini,0.32951517165572375,1,13,most_frequent
3.0,0.9959324155193993,True,entropy,0.45369329148302284,1,3,mean
3.0,0.9959324155193993,True,entropy,0.4749311679171846,1,5,mean
3.0,0.9959324155193993,False,gini,0.3906231910839968,1,20,median
3.0,0.9959324155193993,False,entropy,0.4263001972148842,1,4,median
3.0,0.9959324155193993,False,gini,0.5827146670517016,1,11,mean
3.0,0.9959324155193993,True,entropy,0.41989995662781854,1,4,mean
3.0,0.9959324155193993,False,gini,0.8488713454353126,1,5,most_frequent
3.0,0.9959324155193993,True,gini,0.6542063535226531,1,8,median
3.0,0.9959324155193993,False,entropy,0.44976049205053636,1,5,median
3.0,0.9959324155193993,False,gini,0.35373113073787665,1,4,mean
3.0,0.9959324155193993,True,entropy,0.7650723669004748,1,11,median
3.0,0.9959324155193993,False,entropy,0.34886657809367816,1,8,mean
6.0,0.9679000000000001,False,gini,0.31333556910736127,1,3,most_frequent
6.0,0.9678,False,gini,0.3041569342865074,1,3,most_frequent
6.0,0.96765,False,entropy,0.16302459597833163,1,3,mean
6.0,0.96745,False,entropy,0.18712610040064456,1,4,median
6.0,0.9673,False,gini,0.19015818189266778,1,7,mean
6.0,0.9671,False,entropy,0.4151912331294789,1,3,mean
6.0,0.96705,False,gini,0.21837882082818574,1,6,median
6.0,0.96695,False,gini,0.38732154990957113,1,2,median
6.0,0.96695,False,gini,0.227060020030385,2,3,most_frequent
6.0,0.9667,True,gini,0.23520258612164,1,3,median
6.0,0.96665,False,gini,0.31525068615279334,1,3,median
6.0,0.96655,True,gini,0.20197101505242454,1,2,mean
6.0,0.9664499999999999,False,entropy,0.16496261231127118,1,6,most_frequent
6.0,0.9664499999999999,False,gini,0.2481112562376062,2,5,mean
6.0,0.9664,False,entropy,0.16273673726143123,1,5,median
6.0,0.96635,False,gini,0.3044809595015504,2,5,most_frequent
6.0,0.9662999999999999,False,entropy,0.36031770888165016,1,4,median
6.0,0.9662999999999999,False,entropy,0.4529576780071045,1,2,median
6.0,0.9662000000000001,False,entropy,0.19565009564594427,2,5,median
6.0,0.96595,False,entropy,0.22793605797957728,2,2,mean
11.0,0.8912,True,gini,0.18163659174162758,4,4,most_frequent
11.0,0.8912,True,gini,0.3274496545946032,4,15,most_frequent
11.0,0.8912,True,entropy,0.18028832436438702,4,9,most_frequent
11.0,0.8912,True,gini,0.22113233823947437,11,9,most_frequent
11.0,0.8912,True,gini,0.12547737735230424,4,16,mean
11.0,0.8912,True,gini,0.3066210491227846,2,19,most_frequent
11.0,0.8912,True,gini,0.4321975089015987,7,19,most_frequent
11.0,0.8896,True,entropy,0.14742454063890362,10,13,most_frequent
11.0,0.8896,True,gini,0.14420609692407044,2,15,most_frequent
11.0,0.8896,True,gini,0.1585678303831311,5,11,mean
11.0,0.8896,True,gini,0.19678972387066596,9,19,mean
11.0,0.8896,True,entropy,0.4483505506761357,7,13,median
11.0,0.8896,True,entropy,0.46117091789975917,6,12,most_frequent
11.0,0.8896,True,gini,0.42807370909168285,4,17,mean
11.0,0.8896,True,entropy,0.46041022369028706,8,11,most_frequent
11.0,0.8896,True,gini,0.3664583841519111,5,17,mean
11.0,0.8896,True,gini,0.35809860326371357,7,3,median
11.0,0.8896,True,gini,0.2117714185784939,11,13,mean
11.0,0.8896,True,entropy,0.1656635877185514,1,19,mean
11.0,0.8896,True,gini,0.43056893773406635,12,2,median
