Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
sick_38,0,0.9841059602649008,0.1799900531768798,0.0119795799255371,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114,entropy,,2,1,log2,True,0
sick_38,0,0.9841059602649008,0.1720252037048339,0.0112347602844238,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,gini,31.0,3,2,,False,0
sick_38,0,0.9841059602649008,0.1740751266479492,0.0115432739257812,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,entropy,1.0,3,1,log2,False,0
sick_38,0,0.9841059602649008,0.1758427619934082,0.0118341445922851,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,106,log_loss,,2,1,sqrt,True,0
sick_38,0,0.9827814569536424,0.1699802875518798,0.0117390155792236,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,gini,,3,1,sqrt,False,0
sick_38,0,0.9827814569536424,0.1695513725280761,0.0116972923278808,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,gini,19.0,2,1,sqrt,True,0
sick_38,0,0.9827814569536424,0.1691370010375976,0.0116031169891357,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121,gini,,2,1,log2,False,0
sick_38,0,0.9827814569536424,0.1747264862060547,0.0129640102386474,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,142,entropy,10.0,2,1,sqrt,False,0
sick_38,0,0.9788079470198676,0.1687264442443847,0.011589765548706,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,106,gini,,2,1,log2,False,0
sick_38,0,0.9788079470198676,0.2072236537933349,0.0140323638916015,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,gini,30.0,2,2,,True,0
sick_38,0,0.9788079470198676,0.211292028427124,0.0124628543853759,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,gini,11.0,2,1,sqrt,True,0
sick_38,0,0.9788079470198676,0.2072956562042236,0.0125868320465087,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,gini,1.0,3,2,sqrt,False,0
sick_38,0,0.9788079470198676,0.203773021697998,0.0124619007110595,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,102,entropy,1.0,3,1,log2,True,0
sick_38,0,0.9774834437086092,0.1695120334625244,0.0113885402679443,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145,gini,,2,1,sqrt,False,0
sick_38,1,0.9774834437086092,0.1698768138885498,0.0111908912658691,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,entropy,,2,1,log2,False,0
