Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,learning_rate,max_iter,max_depth,min_samples_leaf,l2_regularization,max_bins,random_state
sick_38,0,0.9933774834437086,0.3424632549285888,0.0039141178131103,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.588283774751375,47,31.0,16,0.0637853413861302,255,0
sick_38,0,0.9933774834437086,0.3092536926269531,0.0036945343017578,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7119096371740409,68,1.0,26,0.0024315125030457,255,0
sick_38,0,0.9933774834437086,0.3155026435852051,0.004246711730957,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2063465473856335,84,1.0,49,0.3720988107194151,249,0
sick_38,0,0.9933774834437086,0.3545529842376709,0.0041780471801757,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4565670811347567,91,,24,0.1677584640760198,255,0
sick_38,0,0.9933774834437086,0.3803293704986572,0.0036444664001464,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0444770923991486,10,,14,0.0592413384764862,255,0
sick_38,0,0.9933774834437086,0.3367409706115722,0.0038306713104248,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0373180497876,62,16.0,4,0.2529000730215159,255,0
sick_38,0,0.9933774834437086,0.2969741821289062,0.0043108463287353,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0125383184013861,72,20.0,3,0.2674513435381822,232,0
sick_38,0,0.9933774834437086,0.3411087989807129,0.0039405822753906,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1014857921891793,195,,20,0.0761537637024418,249,0
sick_38,0,0.9933774834437086,0.3278820514678955,0.004012107849121,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0815950898593947,111,35.0,25,0.0266378339011243,255,0
sick_38,0,0.9933774834437086,0.3516087532043457,0.0062181949615478,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0554409905847188,60,20.0,6,0.0667694534221488,227,0
sick_38,0,0.9920529801324504,0.4631738662719726,0.0036327838897705,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.016852649883632,78,,22,0.0392744272749579,255,0
sick_38,0,0.9920529801324504,0.419339656829834,0.0039246082305908,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0289418519539477,121,11.0,7,0.0594181198642838,236,0
sick_38,0,0.9920529801324504,0.4083306789398193,0.0042130947113037,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0255476661128037,81,,11,0.2423533479457479,252,0
sick_38,0,0.9920529801324504,0.4116668701171875,0.0038814544677734,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7725681581487257,71,7.0,26,0.0331055354753327,255,0
sick_38,0,0.9920529801324504,0.3997554779052734,0.0036921501159667,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8568813186928096,72,,13,0.1826144691073271,241,0
sick_38,0,0.990728476821192,0.3055534362792969,0.00347900390625,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0101588186997312,124,16.0,33,0.2738010370836113,245,0
sick_38,0,0.990728476821192,0.3144950866699219,0.0036532878875732,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0219328870357208,31,,14,0.163502646242506,255,0
sick_38,0,0.990728476821192,0.3452942371368408,0.0045137405395507,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5991859213161722,46,19.0,31,0.0749195644210785,243,0
sick_38,0,0.990728476821192,0.330979585647583,0.0038580894470214,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01193109130744,54,29.0,43,0.083006100056571,255,0
sick_38,0,0.990728476821192,0.3306162357330322,0.0044803619384765,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7707313511076276,45,26.0,13,0.1712772679750479,228,0
autoUniv-au6-1000_1555,3,0.325,2.314239025115967,0.015446662902832,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0575611296881967,59,7.0,45,0.0045521366661254,186,0
