Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_neighbors,weights,algorithm,leaf_size,p,metric
sick_38,0,0.9536423841059604,0.0024454593658447,0.4517645835876465,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,uniform,brute,32,2,minkowski
sick_38,0,0.9536423841059604,0.0024044513702392,0.4557688236236572,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,distance,brute,19,2,minkowski
sick_38,0,0.9536423841059604,0.0022964477539062,0.4595887660980224,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,uniform,kd_tree,27,3,chebyshev
sick_38,0,0.9536423841059604,0.0026719570159912,0.4515960216522217,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,distance,auto,24,2,manhattan
sick_38,4,0.9522546419098143,0.0023412704467773,0.3969728946685791,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,uniform,ball_tree,35,2,minkowski
sick_38,4,0.9522546419098143,0.0022857189178466,0.4528810977935791,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,uniform,brute,23,2,euclidean
sick_38,4,0.9522546419098143,0.0024428367614746,0.4445648193359375,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,distance,ball_tree,22,2,minkowski
sick_38,4,0.9522546419098143,0.0023200511932373,0.4486260414123535,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,distance,brute,34,2,chebyshev
sick_38,4,0.9509283819628648,0.0023112297058105,0.2336678504943847,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,uniform,brute,29,2,euclidean
sick_38,0,0.9496688741721856,0.0023064613342285,0.3341760635375976,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,distance,ball_tree,23,2,chebyshev
sick_38,0,0.9496688741721856,0.0023880004882812,0.3407950401306152,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,uniform,ball_tree,22,2,chebyshev
sick_38,0,0.9496688741721856,0.0024111270904541,0.3229353427886963,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,uniform,auto,23,3,chebyshev
sick_38,0,0.9496688741721856,0.0023388862609863,0.4383401870727539,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,distance,kd_tree,38,3,minkowski
sick_38,0,0.9496688741721856,0.0024495124816894,0.4403440952301025,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,uniform,auto,34,1,chebyshev
sick_38,0,0.9496688741721856,0.0023159980773925,0.4294497966766357,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,uniform,kd_tree,22,2,minkowski
sick_38,4,0.9456233421750664,0.0022962093353271,0.3346760272979736,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,distance,kd_tree,23,2,minkowski
sick_38,4,0.9416445623342176,0.002347707748413,0.2608108520507812,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,uniform,ball_tree,19,2,minkowski
sick_38,4,0.9416445623342176,0.0024256706237792,0.4295277595520019,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,uniform,auto,26,2,manhattan
sick_38,4,0.9416445623342176,0.0024051666259765,0.4294304847717285,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,uniform,brute,31,1,manhattan
sick_38,4,0.9416445623342176,0.0023417472839355,0.4242873191833496,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,distance,ball_tree,21,2,manhattan
autoUniv-au6-1000_1555,3,0.31,0.0011529922485351,0.0561938285827636,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,distance,auto,52,2,chebyshev
autoUniv-au6-1000_1555,3,0.31,0.0011448860168457,0.0501725673675537,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,distance,kd_tree,36,2,euclidean
autoUniv-au6-1000_1555,3,0.31,0.0011119842529296,0.0729379653930664,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,distance,kd_tree,30,1,euclidean
autoUniv-au6-1000_1555,3,0.31,0.0011329650878906,0.0675330162048339,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,uniform,auto,31,3,manhattan
autoUniv-au6-1000_1555,3,0.265,0.0013504028320312,0.0050995349884033,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,uniform,kd_tree,16,2,manhattan
autoUniv-au6-1000_1555,3,0.265,0.001530647277832,0.0051610469818115,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,uniform,auto,18,2,euclidean
autoUniv-au6-1000_1555,3,0.26,0.0016913414001464,0.0107965469360351,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,uniform,brute,43,2,chebyshev
autoUniv-au6-1000_1555,3,0.26,0.0013730525970458,0.0055525302886962,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,uniform,brute,46,2,minkowski
autoUniv-au6-1000_1555,3,0.255,0.0012140274047851,0.0155553817749023,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,distance,auto,10,2,manhattan
autoUniv-au6-1000_1555,3,0.255,0.001124620437622,0.0102405548095703,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,uniform,brute,35,2,minkowski
autoUniv-au6-1000_1555,3,0.25,0.0011765956878662,0.0104978084564208,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,uniform,brute,44,1,euclidean
