Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,penalty,loss,C,tol,max_iter,random_state
sick_38,1,0.96158940397351,0.1634211540222168,0.0003561973571777,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,l1,hinge,0.3210529651841045,0.0005712217293642,1203,0
sick_38,0,0.9562913907284768,0.2635135650634765,0.0004103183746337,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,l2,squared_hinge,2.066130237278008,2.021221103161876e-05,930,0
sick_38,0,0.9562913907284768,0.9052095413208008,0.0003700256347656,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,l1,squared_hinge,0.3106481730764217,0.0001089756793893,822,0
sick_38,0,0.9562913907284768,0.3531959056854248,0.0003755092620849,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,l2,squared_hinge,1.1697077920524273,4.546921482711841e-05,822,0
sick_38,0,0.9562913907284768,0.3453083038330078,0.0003590583801269,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,l1,squared_hinge,0.3079692779524034,0.0001093765204654,444,0
sick_38,0,0.952317880794702,0.1206161975860595,0.0004243850708007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,l2,hinge,2.3176774813990657,1.1551926245891222e-05,1234,0
sick_38,0,0.952317880794702,0.1179296970367431,0.0003719329833984,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,l2,hinge,0.141263862930783,5.093853840963106e-05,771,0
sick_38,0,0.952317880794702,0.1183137893676757,0.000420331954956,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,l1,squared_hinge,2.7698174520784984,9.299377428300269e-05,499,0
sick_38,0,0.952317880794702,0.1184394359588623,0.0003650188446044,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,l1,hinge,0.4720809341322672,2.0032707764171784e-05,1097,0
sick_38,0,0.9496688741721856,0.1571323871612548,0.000370979309082,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,l2,squared_hinge,0.8073136966609571,6.530962139934457e-05,1094,0
sick_38,4,0.9482758620689656,0.156273603439331,0.0003912448883056,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,l1,squared_hinge,0.9271573741935532,2.249300877790972e-05,1254,0
sick_38,4,0.9482758620689656,0.1533238887786865,0.0003738403320312,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,l2,hinge,0.2447675730004807,2.699693853249303e-05,1545,0
sick_38,4,0.9482758620689656,0.1595222949981689,0.0003724098205566,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,l2,hinge,7.661578277082368,0.0009022522482976,1012,0
sick_38,4,0.9482758620689656,0.1508786678314209,0.0004744529724121,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,l2,squared_hinge,0.1000750629774456,0.0001598158492531,910,0
sick_38,4,0.946949602122016,0.1297438144683838,0.000417947769165,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,l2,squared_hinge,0.5565395248697712,6.00941763907585e-05,883,0
sick_38,4,0.9442970822281168,0.2066493034362793,0.0003647804260253,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,l1,squared_hinge,0.180742648478343,0.0001102942958455,912,0
