Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_select_percentile,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,fit_prior
sick_38,0,0.8490066225165563,0.0049536228179931,0.0007400512695312,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.302549271810233,True
sick_38,1,0.8344370860927153,0.004758596420288,0.0004656314849853,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.4338129851668204,False
sick_38,0,0.8291390728476821,0.0048565864562988,0.0004842281341552,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.3242075358000984,True
sick_38,4,0.8262599469496021,0.0047788619995117,0.0004510879516601,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.892708232053323,False
sick_38,1,0.8225165562913908,0.0047893524169921,0.0004389286041259,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.8202414737845856,False
sick_38,4,0.8169761273209549,0.0047013759613037,0.0004432201385498,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.1902677354995194,False
sick_38,3,0.8156498673740054,0.0048418045043945,0.0004630088806152,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.3428147230203054,True
sick_38,3,0.7997347480106101,0.0047786235809326,0.0004403591156005,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.3586460793866316,True
sick_38,1,0.7933774834437086,0.0047211647033691,0.0004403591156005,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2618287580815541,True
sick_38,1,0.7933774834437086,0.0047500133514404,0.000507116317749,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.348730456999894,True
