Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
sick_38,0,0.9933774834437086,0.2502031326293945,0.0085024833679199,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74,gini,2.0,5,1,,False,0
sick_38,0,0.990728476821192,0.2473797798156738,0.0083122253417968,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,log_loss,16.0,3,2,sqrt,True,0
sick_38,0,0.990728476821192,0.2533411979675293,0.0090844631195068,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,137,gini,,4,2,sqrt,True,0
sick_38,0,0.990728476821192,0.2512128353118896,0.0085906982421875,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86,gini,,4,1,sqrt,True,0
sick_38,0,0.990728476821192,0.2537233829498291,0.0086948871612548,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,entropy,,2,2,sqrt,False,0
sick_38,3,0.9893899204244032,0.2611851692199707,0.0096654891967773,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,121,gini,33.0,4,2,,True,0
sick_38,0,0.9880794701986756,0.2432167530059814,0.0085313320159912,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,101,gini,13.0,2,1,sqrt,True,0
sick_38,3,0.9880636604774536,0.2506849765777588,0.0086350440979003,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95,entropy,,4,1,sqrt,False,0
sick_38,3,0.9880636604774536,0.2483835220336914,0.0085346698760986,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,158,gini,30.0,4,1,sqrt,True,0
sick_38,3,0.9880636604774536,0.2503042221069336,0.0084743499755859,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,entropy,13.0,2,1,sqrt,False,0
sick_38,3,0.9880636604774536,0.2604141235351562,0.0089602470397949,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,log_loss,32.0,2,1,sqrt,False,0
sick_38,0,0.9867549668874172,0.2438318729400634,0.0094149112701416,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,gini,,4,2,,True,0
sick_38,0,0.9867549668874172,0.2628796100616455,0.0091168880462646,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,entropy,5.0,2,2,,False,0
sick_38,3,0.986737400530504,0.2434403896331787,0.008324384689331,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,log_loss,26.0,3,1,sqrt,True,0
sick_38,3,0.986737400530504,0.2434835433959961,0.0084893703460693,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92,gini,21.0,3,1,,True,0
sick_38,3,0.986737400530504,0.2375705242156982,0.0083777904510498,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63,gini,12.0,2,2,sqrt,True,0
