dataset,landmarker_1nn,landmarker_lda,landmarker_svm,landmarker_tree,landmarker_nb,dataset_difficulty,visual_variability,structural_regularity,dataset_type,class_entropy,imbalance_ratio,class_overlap_index,n_classes,color_entropy_mean,color_diversity,color_saturation,color_contrast,texture_contrast,texture_homogeneity,texture_energy,texture_correlation,texture_complexity,edge_density,edge_strength,shape_complexity,spatial_compactness,aspect_ratio_variation,num_train,channels,resolution,total_size_mb,pixel_mean,pixel_std,pixel_entropy,pixel_skewness,pixel_kurtosis,pixel_gmean,pixel_iqr,pixel_median
MNIST,0.87,0.6033333333333334,0.7833333333333333,0.5166666666666667,0.5866666666666667,0.24777777777777776,0.06616891237949576,0.48681689698062086,grayscale,0.9993807302517971,0.04361526330673356,0.2,10,0.0,0.0,0.0,0.0,0.032221940525181264,0.8517802526574311,0.7722078029917089,0.8308415238417004,0.14821974734256893,0.05028698979591837,0.13111324608325958,0.43147445130162654,0.48681689698062086,0.06411260575565987,60000,1,28x28,179.44,0.12115155905485153,0.29619988799095154,0.23664720293814379,0.7129243483111161,0.3502232551574707,5.75922065593204e-09,0.0,0.0
FashionMNIST,0.7933333333333333,0.66,0.73,0.6033333333333334,0.5866666666666667,0.27222222222222214,0.0920148760199077,0.6961531238532913,grayscale,0.9999999995657056,0.0,0.2,10,0.0,0.0,0.0,0.0,0.027984525034293554,0.7749438923484402,0.5312885582671629,0.8754387652330606,0.2250561076515598,0.05098852040816326,0.12898002564907074,0.8064734350709365,0.6961531238532913,0.12379077447385736,60000,1,28x28,179.44,0.27439090609550476,0.3485690653324127,0.5954690965953594,0.5735883446162517,0.0,4.295512098906329e-06,0.6274510025978088,0.0
EMNIST,0.6565656565656566,0.24915824915824916,0.36363636363636365,0.18855218855218855,0.25925925925925924,0.5768799102132436,0.07926493685947467,0.5266997509869099,grayscale,0.9999999992019881,0.0,0.52,26,0.0,0.0,0.0,0.0,0.027676715902410352,0.8131937098297393,0.6949789176086368,0.8735271373312008,0.18680629017026074,0.05098852040816326,0.14846009016036987,0.6149684881471165,0.5266997509869099,0.14547382403803794,124800,1,28x28,373.24,0.16924268007278442,0.3268582224845886,0.3889586473078776,0.6643319651994417,0.12364344596862793,1.264830160607744e-07,0.10196078568696976,0.0
CIFAR10,0.25666666666666665,0.13333333333333333,0.14333333333333334,0.15,0.21,0.8222222222222222,0.2527538570120951,0.5268944135721376,color,0.9999999995657056,0.0,0.2,10,0.550519184520286,0.48096354166666666,0.09514804929494858,0.05078767240047455,0.008552968099635795,0.7734832206303814,0.3475603874167301,0.9110101397871786,0.22651677936961856,0.05078125,0.0930083766579628,0.9945037513960129,0.5268944135721376,0.04750641150191096,50000,3,32x32,585.94,0.48379650712013245,0.23374179005622864,1.0,0.521491192814782,0.0,0.4132496118545532,0.34120292216539383,0.4690510034561157
CIFAR100,0.08,0.02666666666666667,0.06,0.02,0.02,0.9444444444444444,0.2697461327788227,0.5142385866926793,color,0.9999999978285279,0.0,1.0,100,0.552661211140213,0.5191145833333334,0.1278965026140213,0.056267548352479935,0.009838925110561917,0.7606574349968653,0.34800437322926003,0.9013294142682646,0.23934256500313467,0.05078125,0.09994344413280487,0.997635445998348,0.5142385866926793,0.0448524045959501,50000,3,32x32,585.94,0.48660001158714294,0.2465435415506363,1.0,0.5307795711999606,0.0,0.4110957086086273,0.3696892410516739,0.4654058963060379
SVHN,0.31666666666666665,0.13333333333333333,0.13333333333333333,0.12,0.15666666666666668,0.8055555555555556,0.1427470488495514,0.528164198070716,color,0.9712547126239557,0.21805566167931123,0.2,10,0.44475277232011723,0.21369791666666665,0.10624223202466965,0.03528415784239769,0.003974804484261186,0.8361525708992625,0.45476564364636773,0.8988319703135456,0.16384742910073746,0.05069580078125,0.06112194061279297,1.0,0.528164198070716,0.03573439605012626,73257,3,32x32,858.48,0.44278016686439514,0.18240579962730408,1.0,0.5355774030976976,0.0,0.4023710787296295,0.2645411491394043,0.42584705352783203
USPS,0.92,0.7166666666666667,0.8666666666666667,0.5766666666666667,0.6233333333333333,0.16555555555555557,0.13909725855486424,0.6255884837818432,grayscale,0.9856751724312516,0.15795965850258026,0.2,10,0.0,0.0,0.0,0.0,0.028516093750000006,0.6334406462104073,0.4307089636905556,0.8447774167465159,0.3665593537895927,0.050732421875,0.19563153386116028,0.8728350313841251,0.6255884837818432,0.0665377953945393,7291,1,16x16,7.12,0.24221199750900269,0.2930040955543518,0.7558651356815699,0.5882384504094346,0.0,0.0001875500602182001,0.47843137383461,0.08235294371843338
Omniglot,0.52,0.08666666666666667,0.28,0.12,0.18,0.7044444444444444,0.018410281075571293,0.5,grayscale,0.9999999978285279,0.0,1.0,100,0.0,0.0,0.0,0.0,0.012821203926282049,0.9743575921474358,0.9047380453226902,0.9136985027940213,0.02564240785256422,0.02958843537414966,0.046822428703308105,0.06799608231903778,0.5,0.5,19280,1,105x105,810.86,0.921572208404541,0.2688436210155487,0.04957689113206658,0.22192633730859745,0.7835681915283204,0.16433188319206238,0.0,1.0
EuroSAT,0.17333333333333334,0.11,0.08333333333333333,0.13333333333333333,0.26666666666666666,0.8777777777777778,0.11126087644813758,0.46046423533606157,color,0.9966126933971642,0.08109302162163287,0.2,10,0.2953197520231837,0.18161458333333333,0.2128412425518036,0.04446684569120407,0.0027536311689027467,0.8972948446139206,0.6787028920264968,0.8114957664782844,0.10270515538607938,0.049462890625,0.03611581400036812,0.9190150634742981,0.46046423533606157,0.0008612764013374119,27000,3,64x64,1265.62,0.3674362301826477,0.14504285156726837,1.0,0.6084738802296287,0.09501042366027831,0.3422940671443939,0.17672941088676453,0.3369647264480591
Flowers102,0.08148148148148149,0.022222222222222223,0.06666666666666667,0.007407407407407408,0.007407407407407408,0.9432098765432099,0.37209447343231994,0.4996779929999865,color,0.9999999977945815,0.0,1.0,102,0.5655533144259837,0.9970833333333333,0.18736600875854492,0.07059542089700699,0.001794826807964967,0.930794547628938,0.43703541526865414,0.9827148432963728,0.06920545237106202,0.0499946345925644,0.028570055961608887,0.9801291615702622,0.4996779929999865,0.06004619502649341,1020,3,754x500,4400.71,0.3788551986217499,0.23555158078670502,1.0,0.5320531494603324,0.0,0.21885521709918976,0.3730470836162567,0.3562392592430115
