dataset,dataset_difficulty,visual_variability,structural_regularity,landmarker_1nn,landmarker_lda,landmarker_svm,n_classes,channels,class_entropy
MNIST,0.24777777777777776,0.06616891237949576,0.48681689698062086,0.87,0.6033333333333334,0.7833333333333333,10,1,0.9993807302517971
FashionMNIST,0.27222222222222214,0.0920148760199077,0.6961531238532913,0.7933333333333333,0.66,0.73,10,1,0.9999999995657056
EMNIST,0.5768799102132436,0.07926493685947467,0.5266997509869099,0.6565656565656566,0.24915824915824916,0.36363636363636365,26,1,0.9999999992019881
CIFAR10,0.8222222222222222,0.2527538570120951,0.5268944135721376,0.25666666666666665,0.13333333333333333,0.14333333333333334,10,3,0.9999999995657056
CIFAR100,0.9444444444444444,0.2697461327788227,0.5142385866926793,0.08,0.02666666666666667,0.06,100,3,0.9999999978285279
SVHN,0.8055555555555556,0.1427470488495514,0.528164198070716,0.31666666666666665,0.13333333333333333,0.13333333333333333,10,3,0.9712547126239557
USPS,0.16555555555555557,0.13909725855486424,0.6255884837818432,0.92,0.7166666666666667,0.8666666666666667,10,1,0.9856751724312516
Omniglot,0.7044444444444444,0.018410281075571293,0.5,0.52,0.08666666666666667,0.28,100,1,0.9999999978285279
EuroSAT,0.8777777777777778,0.11126087644813758,0.46046423533606157,0.17333333333333334,0.11,0.08333333333333333,10,3,0.9966126933971642
Flowers102,0.9432098765432099,0.37209447343231994,0.4996779929999865,0.08148148148148149,0.022222222222222223,0.06666666666666667,102,3,0.9999999977945815
DTD,0.9506172839506173,0.3191428793344495,0.49928504793150125,0.05723905723905724,0.04713804713804714,0.04377104377104377,47,3,0.999999998779268
GTSRB,0.4612794612794612,0.27394470243416147,0.5169535395448311,0.5353535353535354,0.48148148148148145,0.5993265993265994,43,3,0.9297992711861137
OxfordIIITPet,0.9455555555555556,0.37527472808280954,0.5068680161444364,0.07,0.05333333333333334,0.04,37,3,0.9927609960290793
