dataset,dataset_difficulty,visual_variability,structural_regularity,landmarker_1nn,landmarker_lda,landmarker_svm,n_classes,channels,class_entropy
MNIST,0.19016917967442704,0.1014424432123288,0.5054484988790667,0.8805004404704554,0.7139973556765161,0.8349946648297474,10,1,0.9993807302517971
FashionMNIST,0.2571649610630119,0.18922914995888718,0.48872739814858857,0.7575063819441631,0.6784985885435662,0.7925001463232348,10,1,0.9999999995657056
EMNIST,0.5194942568755663,0.144977684761304,0.38454795072250514,0.6235058146602374,0.3145041593317455,0.5035072553813184,26,1,0.9999999992019881
CIFAR10,0.8361695028361695,1.4403870548281466,0.6068913427823279,0.20299835067451258,0.1359973166569868,0.15249582415999208,10,3,0.9999999995657056
CIFAR100,0.9450084602368867,1.4253944631416648,0.6043459859599767,0.07529610829103216,0.03214890016920474,0.05752961082910322,100,3,0.9999999978285279
SVHN,0.7981624803214009,1.241131954393498,0.10160511746864537,0.2855073964519242,0.13399981690836263,0.18600534567551055,10,3,0.9712547126239557
USPS,0.08150404277340806,0.26288568312669325,0.5068112059801575,0.9539959749854803,0.8799939369654513,0.9214979597288443,10,1,0.9856751724312516
Omniglot,0.8222222222222222,0.03065740436173413,0.9537186394557824,0.13333333333333333,0.18000000000000002,0.22,100,1,0.9999999978285279
EuroSAT,0.7756702229465847,0.9530858954025954,0.20596767182976686,0.18550184367275824,0.2374946160553357,0.24999287143215176,10,3,0.9966126933971642
Flowers102,0.5,1.4081421096432762,0.5202553384209735,0.5,0.5,0.5,102,3,0.9999999977945815
DTD,0.5,1.337478239900406,0.5989930767783427,0.5,0.5,0.5,47,3,0.999999998779268
GTSRB,0.5,1.1953526629116185,0.49993562939832137,0.5,0.5,0.5,43,3,0.9297992711861137
OxfordIIITPet,0.9454974714844779,1.4781294465320565,0.5221192227077219,0.0639972806389598,0.04400427413920668,0.055506030768399585,37,3,0.9927609960290793
