dataset,landmarker_1nn,landmarker_lda,landmarker_svm,landmarker_tree,landmarker_nb,dataset_difficulty,visual_variability,structural_regularity,dataset_type,class_entropy,imbalance_ratio,class_overlap_index,fisher_discriminant_ratio,n_classes,color_entropy_mean,color_diversity,color_saturation,texture_complexity,texture_homogeneity_norm,edge_density,shape_complexity,spatial_compactness,aspect_ratio_variation,centroid_variation,num_train,channels,resolution,total_size_mb,pixel_mean,pixel_std,pixel_entropy,pixel_skewness,pixel_kurtosis,color_std_mean,edge_std,object_size_ratio,pixel_gmean,pixel_iqr,pixel_median,texture_contrast_norm,texture_correlation_norm,texture_energy_norm
MNIST,0.8805004404704554,0.7139973556765161,0.8349946648297474,0.6370005687846767,0.5760160460310385,0.19016917967442704,0.1014424432123288,0.5054484988790667,grayscale,0.9993807302517971,0.21807631653366777,0.5,0.5,10,0.0,0.0,0.0,0.2374399467621845,0.7625600532378155,0.10070153061224488,0.3315513710247259,0.3751541042441391,0.29910990916854174,0.006567335691625709,60000,1,28x28,179.44,0.13004258275032043,0.307431161403656,1.9573607447047259,2.1586544513702393,2.948460102081299,0.0,0.22722555696964264,0.13028061224489795,7.0328578516409834e-09,0.0,0.0,0.8650278569101897,0.5354128428833179,0.7351068596969194
FashionMNIST,0.7575063819441631,0.6784985885435662,0.7925001463232348,0.6690048369208789,0.5389910150030089,0.2571649610630119,0.18922914995888718,0.48872739814858857,grayscale,0.9999999995657056,0.0,0.5,0.5,10,0.0,0.0,0.0,0.5300112821758824,0.46998871782411755,0.10075255102040813,0.6688600389967696,0.5700133059144293,0.6332014635001726,0.02871835174028178,60000,1,28x28,179.44,0.289029598236084,0.35727402567863464,4.8550650970693,0.6833828091621399,-1.2265962362289429,0.0,0.17439888417720795,0.3162627551020408,5.671374310622923e-06,0.6549019813537598,0.0,0.829976797851398,0.6661242455372421,0.42747679558831597
EMNIST,0.6235058146602374,0.3145041593317455,0.5035072553813184,0.3334946640793717,0.29000589795192494,0.5194942568755663,0.144977684761304,0.38454795072250514,grayscale,0.9999999992019881,0.0,1.0,0.2777777777777778,26,0.0,0.0,0.0,0.38265945940842827,0.6173405405915717,0.10059948979591836,0.48708086654826244,0.3702451627808887,0.5939978673650702,0.025194741194170055,124800,1,28x28,373.24,0.174370676279068,0.33247432112693787,3.1352069915902976,1.6649845838546753,1.0776047706604004,0.0,0.2177603393793106,0.16321428571428573,1.383885575023669e-07,0.125490203499794,0.0,0.8631797340349046,0.5885283038765858,0.5934042671246939
CIFAR10,0.20299835067451258,0.1359973166569868,0.15249582415999208,0.1879878379128754,0.21750761256008633,0.8361695028361695,1.4403870548281466,0.6068913427823279,few_classes_color,0.9999999995657056,0.0,0.5,0.5,10,1.0,0.9012899999999999,0.017703045159578323,0.8823643180089185,0.11763568199108151,0.1005859375,0.9481787700116695,0.48088744274440726,0.2041028071607913,0.05828121682954372,50000,3,32x32,585.94,0.48185592889785767,0.23442745208740234,17.405805212512263,0.2111097276210785,-0.6573734283447266,0.19998310506343842,0.08705095201730728,0.436005859375,0.39992067217826843,0.3434666693210602,0.471745103597641,0.7242499498198484,0.7034253291370941,0.04645056980015558
CIFAR100,0.07529610829103216,0.03214890016920474,0.05752961082910322,0.038917089678511,0.05583756345177665,0.9450084602368867,1.4253944631416648,0.6043459859599767,medium_classes_color,0.9999999978285279,0.0,1.0,0.09090909090909091,100,1.0,0.8833349999999999,0.02292274497449398,0.8675715509839257,0.13242844901607437,0.100576171875,0.9497830876093758,0.48661219104665737,0.2190533216700444,0.0573673016795029,50000,3,32x32,585.94,0.48403245210647583,0.24748773872852325,17.276414641811552,0.24930787086486816,-0.7060601711273193,0.20179371535778046,0.08217009902000427,0.425537109375,0.3862479329109192,0.36604803800582886,0.46566668152809143,0.7041395268460138,0.7494906632167535,0.05095555963014196
SVHN,0.2855073964519242,0.13399981690836263,0.18600534567551055,0.1944935940438189,0.08800104452278364,0.7981624803214009,1.241131954393498,0.10160511746864537,few_classes_color,0.9712547126239557,1.0902783083965562,0.5,0.5,10,1.0,0.901965,0.011583507061004639,0.8639821207989736,0.1360178792010264,0.10052734375,0.9324857256869098,0.5197462969890746,1.0,0.07118504570091037,73257,3,32x32,858.48,0.4456481635570526,0.19454646110534668,17.221526325015617,0.38686877489089966,-0.4368476867675781,0.1124383956193924,0.048781394958496094,0.39001953125,0.39897653460502625,0.2822873294353485,0.42957061529159546,0.6330293039029413,0.7562807156505562,0.03750352791839143
USPS,0.9539959749854803,0.8799939369654513,0.9214979597288443,0.771497134315725,0.7299856077967023,0.08150404277340806,0.26288568312669325,0.5068112059801575,grayscale,0.9856751724312516,0.7897982925129012,0.5,0.5,10,0.0,0.0,0.0,0.7747231104223109,0.2252768895776891,0.1015625,0.6941542418590966,0.43969283400131615,0.39251123605158045,0.03662347153323648,7291,1,16x16,7.12,0.24587495625019073,0.29503023624420166,6.121619064824227,0.8901215195655823,-0.6399786472320557,0.0,0.15977956354618073,0.2444140625,0.00022126529074739665,0.48235294222831726,0.08627451211214066,0.8562107245905531,0.511021817804361,0.20288113823286655
Omniglot,0.13333333333333333,0.18000000000000002,0.22,0.02,0.24,0.8222222222222222,0.03065740436173413,0.9537186394557824,grayscale,0.9999999978285279,0.0,1.0,0.09090909090909091,100,0.0,0.0,0.0,0.03671107576360355,0.9632889242363964,0.06548027210884355,0.04929493309484395,0.9228643990929706,0.0,0.0027686692658781694,19280,1,105x105,810.86,0.9234365820884705,0.2658975124359131,0.3899529870270275,-3.1849608421325684,8.143975257873535,0.0,0.15709428489208221,0.925277097505669,0.17154008150100708,0.0,1.0,0.7778284508949304,0.7391666596610236,0.9056988941004641
EuroSAT,0.18550184367275824,0.2374946160553357,0.24999287143215176,0.2975051513282398,0.30900390645518083,0.7756702229465847,0.9530858954025954,0.20596767182976686,few_classes_color,0.9966126933971642,0.4054651081081644,0.5,0.5,10,1.0,0.493335,0.017674600705504417,0.7249932895248163,0.2750067104751836,0.0974560546875,0.8608245246373027,0.3854011796797247,1.0,0.08381069843236977,27000,3,64x64,1265.62,0.37324559688568115,0.15402424335479736,14.38782535203265,1.265485405921936,1.7491354942321777,0.07446769624948502,0.03139786422252655,0.21012939453125,0.345941960811615,0.1776784360408783,0.33869802951812744,0.5442553674916452,0.6584364830225644,0.08153518219069922
Flowers102,0.5,0.5,0.5,0.5,0.5,0.5,1.4081421096432762,0.5202553384209735,many_classes_color,0.9999999977945815,0.0,1.0,0.08928571428571429,102,1.0,0.6010550000000001,0.04251580685377121,0.7042081667280838,0.29579183327191616,0.09995877068219253,1.0,0.36379023219478746,0.2450470022397474,0.04112296842333651,1020,3,754x500,4400.71,0.38763168454170227,0.242337167263031,17.319597885541214,0.38228413462638855,-0.7503433227539062,0.23500250279903412,0.039385586977005005,0.33146349620802845,0.2391439825296402,0.3800666928291321,0.35981568694114685,0.5480384487364757,0.9605127576344521,0.032410297315340335
DTD,0.5,0.5,0.5,0.5,0.5,0.5,1.337478239900406,0.5989930767783427,medium_classes_color,0.999999998779268,0.0,1.0,0.17543859649122806,47,1.0,0.6435649999999999,0.01914101280272007,0.8082841442588324,0.19171585574116762,0.09992729117557936,1.0,0.4924407750902408,0.24117847068950443,0.03236346573514581,1880,3,640x480,6609.38,0.4750519096851349,0.2552494704723358,16.983692333954398,0.1017908975481987,-0.8366484642028809,0.1738549768924713,0.0603671632707119,0.43585106654336025,0.33128511905670166,0.3891843259334564,0.47708630561828613,0.6641027681535105,0.8156787190362492,0.048154554506787337
GTSRB,0.5,0.5,0.5,0.5,0.5,0.5,1.1953526629116185,0.49993562939832137,medium_classes_color,0.9297992711861137,2.302585092994046,1.0,0.18867924528301888,43,1.0,0.7529300000000001,0.01546715572476387,0.7588491108827722,0.24115088911722787,0.10011341243167082,0.9472540942952367,0.40575377753780345,0.3587915928109017,0.06033033806776452,26640,3,29x30,265.24,0.34129512310028076,0.27928945422172546,16.244402690535665,1.084665060043335,0.10193133354187012,0.17276039719581604,0.06996448338031769,0.23575485619891348,0.23823601007461548,0.3510666489601135,0.24076078832149506,0.6965067245119235,0.757056569257925,0.0906895236931668
OxfordIIITPet,0.0639972806389598,0.04400427413920668,0.055506030768399585,0.04249827038432736,0.08199278739008874,0.9454974714844779,1.4781294465320565,0.5221192227077219,medium_classes_color,0.9927609960290793,0.7550225842780328,1.0,0.2127659574468085,37,1.0,0.6022,0.016378169879317284,0.7965086909530081,0.20349130904699186,0.09998575900955686,1.0,0.399564978350221,0.29404941075602664,0.053811005222049284,3680,3,394x500,8296.51,0.4413982927799225,0.2611570656299591,16.91613807731055,0.27279219031333923,-0.861060380935669,0.22522462904453278,0.05184130370616913,0.4356152966689622,0.3132695257663727,0.4060039520263672,0.4205411970615387,0.6175881752217679,0.9239913441631029,0.0345163179595521
