task_id,learning_rate,batch_size,weight_decay,momentum,dropout_rate,alpha,label_smoothing,grad_clip,test_accuracy,epochs,optimizer_Adam
MNIST,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.934,0.0,1.0
MNIST,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.922,0.0,1.0
FashionMNIST,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.807,0.0,1.0
FashionMNIST,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.809,0.0,1.0
KMNIST,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.728,0.0,1.0
KMNIST,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.645,0.0,1.0
EMNIST_Balanced,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.643,0.0,1.0
EMNIST_Balanced,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.627,0.0,1.0
EMNIST_Digits,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.944,0.0,1.0
EMNIST_Digits,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.922,0.0,1.0
EMNIST_MNIST,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.927,0.0,1.0
EMNIST_MNIST,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.929,0.0,1.0
EMNIST_ByClass,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.684,0.0,1.0
EMNIST_ByClass,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.652,0.0,1.0
EMNIST_ByMerge,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.726,0.0,1.0
EMNIST_ByMerge,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.673,0.0,1.0
USPS,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.92,0.0,1.0
USPS,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.0,1.0
QMNIST,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.947,0.0,1.0
QMNIST,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.923,0.0,1.0
RenderedSST2,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.512,0.0,1.0
RenderedSST2,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.515,0.0,1.0
CIFAR10,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.76,0.0,1.0
CIFAR10,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.764,0.0,1.0
CIFAR100,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.409,0.0,1.0
CIFAR100,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.448,0.0,1.0
Flowers102,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.813,0.0,1.0
Flowers102,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.736,0.0,1.0
DTD,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.533,0.0,1.0
DTD,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.544,0.0,1.0
EuroSAT,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.899,0.0,1.0
EuroSAT,-0.9999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.894,0.0,1.0
