task_id,learning_rate,batch_size,weight_decay,momentum,dropout_rate,alpha,label_smoothing,grad_clip,test_accuracy,epochs,optimizer_Adam
MNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.922,0.0,1.0
MNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.922,0.0,1.0
FashionMNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.766,0.0,1.0
FashionMNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.811,0.0,1.0
KMNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.675,0.0,1.0
KMNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.62,0.0,1.0
EMNIST_Balanced,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.601,0.0,1.0
EMNIST_Balanced,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.64,0.0,1.0
EMNIST_Digits,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.874,0.0,1.0
EMNIST_Digits,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.924,0.0,1.0
EMNIST_MNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.899,0.0,1.0
EMNIST_MNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.915,0.0,1.0
EMNIST_ByClass,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.609,0.0,1.0
EMNIST_ByClass,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.669,0.0,1.0
EMNIST_ByMerge,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.679,0.0,1.0
EMNIST_ByMerge,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.681,0.0,1.0
USPS,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.924,0.0,1.0
USPS,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.923,0.0,1.0
QMNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.878,0.0,1.0
QMNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.917,0.0,1.0
RenderedSST2,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.49,0.0,1.0
RenderedSST2,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.517,0.0,1.0
CIFAR10,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.69,0.0,1.0
CIFAR10,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,0.0,1.0
CIFAR100,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.348,0.0,1.0
CIFAR100,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.387,0.0,1.0
Flowers102,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.736,0.0,1.0
Flowers102,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.78,0.0,1.0
DTD,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.523,0.0,1.0
DTD,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.584,0.0,1.0
EuroSAT,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.898,0.0,1.0
EuroSAT,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.916,0.0,1.0
