task_id,learning_rate,batch_size,weight_decay,momentum,dropout_rate,alpha,label_smoothing,grad_clip,test_accuracy,epochs,optimizer_Adam
MNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.936,0.0,1.0
MNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.928,0.0,1.0
FashionMNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.746,0.0,1.0
FashionMNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.811,0.0,1.0
KMNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.685,0.0,1.0
KMNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.591,0.0,1.0
EMNIST_Balanced,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.63,0.0,1.0
EMNIST_Balanced,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.614,0.0,1.0
EMNIST_Digits,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.93,0.0,1.0
EMNIST_Digits,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.917,0.0,1.0
EMNIST_MNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.906,0.0,1.0
EMNIST_MNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.912,0.0,1.0
EMNIST_ByClass,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.646,0.0,1.0
EMNIST_ByClass,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.664,0.0,1.0
EMNIST_ByMerge,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.69,0.0,1.0
EMNIST_ByMerge,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.684,0.0,1.0
USPS,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.895,0.0,1.0
USPS,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.909,0.0,1.0
QMNIST,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.93,0.0,1.0
QMNIST,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.912,0.0,1.0
RenderedSST2,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.561,0.0,1.0
RenderedSST2,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.539,0.0,1.0
CIFAR10,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.755,0.0,1.0
CIFAR10,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.744,0.0,1.0
CIFAR100,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.334,0.0,1.0
CIFAR100,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.375,0.0,1.0
Flowers102,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.751,0.0,1.0
Flowers102,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.597,0.0,1.0
DTD,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.524,0.0,1.0
DTD,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.51,0.0,1.0
EuroSAT,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.909,0.0,1.0
EuroSAT,-0.9999999999999998,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.889,0.0,1.0
