task_id,architecture,learning_rate,optimizer,batch_size,weight_decay,momentum,dropout_rate,alpha,label_smoothing,grad_clip,test_accuracy,train_accuracy,test_loss,training_time_sec,epochs,is_synthetic
MNIST,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.936,0.9268,0.1812301566824317,276.1905765533447,3,Real
MNIST,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.928,0.9028,0.3619545679539442,292.74706983566284,3,Real
MNIST,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.934,0.8956,0.1921396208927035,377.2636637687683,3,Real
MNIST,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.922,0.882,0.3195992177352309,369.2882726192474,3,Real
MNIST,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.922,0.8852,0.2317718444392085,324.0058455467224,3,Real
MNIST,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.922,0.8966,0.312668539583683,330.69712805747986,3,Real
FashionMNIST,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.746,0.8268,0.8449409753084183,290.3219215869904,3,Real
FashionMNIST,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.811,0.8066,0.611800467595458,302.6678500175476,3,Real
FashionMNIST,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.807,0.835,0.6145029030740261,376.657919883728,3,Real
FashionMNIST,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.809,0.8084,0.5896626506000757,372.97177720069885,3,Real
FashionMNIST,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.766,0.7954,0.7223496939986944,326.4417746067047,3,Real
FashionMNIST,MobileNetV2,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.811,0.8072,0.5934641100466251,328.2649004459381,3,Real
KMNIST,ResNet18,0.01,Adam,64,0.0001,,,1.0,,,0.685,0.8006,1.059271514415741,286.6937589645386,3,Real
KMNIST,ResNet18,0.001,Adam,64,0.0001,,0.1,1.0,0.1,1.0,0.591,0.7454,1.2630673050880432,284.3879125118256,3,Real
KMNIST,EfficientNetB0,0.01,Adam,64,0.0001,,0.2,1.0,,,0.728,0.7956,0.8571031764149666,366.985072851181,3,Real
KMNIST,EfficientNetB0,0.001,Adam,64,0.0001,,0.2,1.0,0.1,1.0,0.645,0.748,1.1645889393985271,368.21066212654114,3,Real
KMNIST,MobileNetV2,0.01,Adam,64,0.0001,,,1.0,,,0.675,0.7824,1.0356285125017166,328.1386556625366,3,Real
