dataset_id,task_id,flow_id,f_measure,algorithm,hyperparameters,hyperparameters_json
3,233,422,0.997154,weka.AdaBoostM1_REPTree,"{464: '10', 465: '100', 467: '1', 468: 'weka.classifiers.trees.REPTree', 4116: '0.0', 4117: '-1', 4118: '2', 4119: '3', 4122: '1', 4123: '0.001'}","{""464"": ""10"", ""465"": ""100"", ""467"": ""1"", ""468"": ""weka.classifiers.trees.REPTree"", ""4116"": ""0.0"", ""4117"": ""-1"", ""4118"": ""2"", ""4119"": ""3"", ""4122"": ""1"", ""4123"": ""0.001""}"
3,233,1086,0.996205,weka.Id3,{},{}
3,233,406,0.995257,weka.AdaBoostM1_JRip,"{360: '10', 361: '100', 363: '1', 364: 'weka.classifiers.rules.JRip', 3479: '3', 3480: '2.0', 3481: '2', 3483: '1'}","{""360"": ""10"", ""361"": ""100"", ""363"": ""1"", ""364"": ""weka.classifiers.rules.JRip"", ""3479"": ""3"", ""3480"": ""2.0"", ""3481"": ""2"", ""3483"": ""1""}"
3,233,411,0.995256,weka.AdaBoostM1_LMT,"{386: '160', 387: '100', 389: '1', 390: 'weka.classifiers.trees.LMT', 3541: '-1', 3542: '15', 3545: '0.0'}","{""386"": ""160"", ""387"": ""100"", ""389"": ""1"", ""390"": ""weka.classifiers.trees.LMT"", ""3541"": ""-1"", ""3542"": ""15"", ""3545"": ""0.0""}"
3,233,398,0.994307,weka.AdaBoostM1_BFTree,"{269: '80', 270: '100', 272: '1', 273: 'weka.classifiers.trees.BFTree', 2496: 'true', 2499: '2', 2500: '5', 2501: 'POSTPRUNED', 2503: '1'}","{""269"": ""80"", ""270"": ""100"", ""272"": ""1"", ""273"": ""weka.classifiers.trees.BFTree"", ""2496"": ""true"", ""2499"": ""2"", ""2500"": ""5"", ""2501"": ""POSTPRUNED"", ""2503"": ""1""}"
3,233,407,0.99336,weka.AdaBoostM1_LADTree,"{373: '80', 374: '100', 376: '1', 377: 'weka.classifiers.trees.LADTree', 3515: '10'}","{""373"": ""80"", ""374"": ""100"", ""376"": ""1"", ""377"": ""weka.classifiers.trees.LADTree"", ""3515"": ""10""}"
3,233,1187,0.99336,weka.Decorate,"{10405: '15', 10406: '1.0', 10407: '1', 10408: '50'}","{""10405"": ""15"", ""10406"": ""1.0"", ""10407"": ""1"", ""10408"": ""50""}"
3,233,527,0.993358,weka.Bagging_LMT,"{2779: '10', 2784: '100', 2786: '1', 2788: 'weka.classifiers.trees.LMT', 2789: '1', 3541: '-1', 3542: '15', 3545: '0.0'}","{""2779"": ""10"", ""2784"": ""100"", ""2786"": ""1"", ""2788"": ""weka.classifiers.trees.LMT"", ""2789"": ""1"", ""3541"": ""-1"", ""3542"": ""15"", ""3545"": ""0.0""}"
3,233,506,0.99241,weka.RotationForest_PrincipalComponents_J48,"{3458: '0.25', 3461: '2', 4327: '3', 4328: '3', 4329: '20', 4335: '50', 4338: '1', 4340: 'weka.classifiers.trees.J48', 4341: '1'}","{""3458"": ""0.25"", ""3461"": ""2"", ""4327"": ""3"", ""4328"": ""3"", ""4329"": ""20"", ""4335"": ""50"", ""4338"": ""1"", ""4340"": ""weka.classifiers.trees.J48"", ""4341"": ""1""}"
3,233,523,0.99241,weka.Bagging_J48,"{2701: '40', 2706: '100', 2708: '1', 2710: 'weka.classifiers.trees.J48', 2711: '1', 3458: '0.25', 3461: '2'}","{""2701"": ""40"", ""2706"": ""100"", ""2708"": ""1"", ""2710"": ""weka.classifiers.trees.J48"", ""2711"": ""1"", ""3458"": ""0.25"", ""3461"": ""2""}"
6,236,1172,0.966086,weka.LibSVM,"{10268: '0', 10269: '2', 10270: '3', 10271: '0.0', 10272: '0.0', 10273: '1.0', 10274: '0.5', 10278: '0.1', 10279: '40.0', 10280: '0.001', 10284: '/Users/joa/Downloads/weka-3-7-12', 10285: '1'}","{""10268"": ""0"", ""10269"": ""2"", ""10270"": ""3"", ""10271"": ""0.0"", ""10272"": ""0.0"", ""10273"": ""1.0"", ""10274"": ""0.5"", ""10278"": ""0.1"", ""10279"": ""40.0"", ""10280"": ""0.001"", ""10284"": ""/Users/joa/Downloads/weka-3-7-12"", ""10285"": ""1""}"
