pipeline,metafeature,openml_tid,ndcg,ndcg_score
adaboost,metabu,3,25,0.6
adaboost,metabu,6,25,0.8
adaboost,metabu,11,25,0.68
adaboost,metabu,12,25,0.72
adaboost,metabu,14,25,0.6
adaboost,metabu,15,25,0.76
adaboost,metabu,16,25,0.84
adaboost,metabu,18,25,0.68
adaboost,metabu,22,25,0.72
adaboost,metabu,23,25,0.84
adaboost,metabu,28,25,0.76
adaboost,metabu,29,25,0.76
adaboost,metabu,31,25,0.72
adaboost,metabu,32,25,0.76
adaboost,metabu,37,25,0.68
adaboost,metabu,43,25,0.68
adaboost,metabu,45,25,0.84
adaboost,metabu,49,25,0.76
adaboost,metabu,53,25,0.64
adaboost,metabu,219,25,0.72
adaboost,metabu,2074,25,0.8
adaboost,metabu,2079,25,0.72
adaboost,metabu,3021,25,0.76
adaboost,metabu,3022,25,0.72
adaboost,metabu,3481,25,0.76
adaboost,metabu,3549,25,0.84
adaboost,metabu,3560,25,0.8
adaboost,metabu,3573,25,0.84
adaboost,metabu,3902,25,0.68
adaboost,metabu,3903,25,0.68
adaboost,metabu,3904,25,0.64
adaboost,metabu,3913,25,0.92
adaboost,metabu,3917,25,0.68
adaboost,metabu,3918,25,0.68
adaboost,metabu,7592,25,0.8
adaboost,metabu,9910,25,0.68
adaboost,metabu,9946,25,0.84
adaboost,metabu,9957,25,0.76
adaboost,metabu,9960,25,0.68
adaboost,metabu,9964,25,0.8
adaboost,metabu,9971,25,0.68
adaboost,metabu,9976,25,0.64
adaboost,metabu,9977,25,0.6
adaboost,metabu,9978,25,0.8
adaboost,metabu,9981,25,0.72
adaboost,metabu,9985,25,0.6
adaboost,metabu,10093,25,0.84
adaboost,metabu,10101,25,0.76
adaboost,metabu,14952,25,0.6
adaboost,metabu,14954,25,0.6
adaboost,metabu,14965,25,0.72
adaboost,metabu,14969,25,0.8
adaboost,metabu,14970,25,0.72
adaboost,metabu,125920,25,0.84
adaboost,metabu,125922,25,0.72
adaboost,metabu,146195,25,0.64
adaboost,metabu,146800,25,0.72
adaboost,metabu,146817,25,0.76
adaboost,metabu,146819,25,0.72
adaboost,metabu,146820,25,0.64
adaboost,metabu,146821,25,0.76
adaboost,metabu,146824,25,0.8
adaboost,metabu,167125,25,0.72
adaboost,AutoSklearn,3,25,0.52
adaboost,AutoSklearn,6,25,0.6
adaboost,AutoSklearn,11,25,0.68
adaboost,AutoSklearn,12,25,0.4
adaboost,AutoSklearn,14,25,0.48
adaboost,AutoSklearn,15,25,0.6
adaboost,AutoSklearn,16,25,0.48
adaboost,AutoSklearn,18,25,0.2
