training_size,method,repeat,ndcg_k,split,mean_ndcg
15,metafeatx,0,5,train,0.29619047619047617
15,metafeatx,0,5,test,0.2533333333333333
15,metafeatx,0,10,train,0.2752380952380952
15,metafeatx,0,10,test,0.24666666666666665
15,metafeatx,0,15,train,0.3460317460317462
15,metafeatx,0,15,test,0.31555555555555564
15,metafeatx,0,20,train,0.4216666666666667
15,metafeatx,0,20,test,0.39333333333333337
15,autosklearn,0,5,train,0.32
15,autosklearn,0,5,test,0.32000000000000006
15,autosklearn,0,10,train,0.29999999999999993
15,autosklearn,0,10,test,0.3
15,autosklearn,0,15,train,0.35111111111111115
15,autosklearn,0,15,test,0.35111111111111115
15,autosklearn,0,20,train,0.44333333333333336
15,autosklearn,0,20,test,0.4433333333333334
15,metafeatx,1,5,train,0.2980952380952381
15,metafeatx,1,5,test,0.29333333333333333
15,metafeatx,1,10,train,0.27428571428571424
15,metafeatx,1,10,test,0.2133333333333334
15,metafeatx,1,15,train,0.3641269841269842
15,metafeatx,1,15,test,0.3466666666666667
15,metafeatx,1,20,train,0.4373809523809525
15,metafeatx,1,20,test,0.42
15,autosklearn,1,5,train,0.4
15,autosklearn,1,5,test,0.39999999999999997
15,autosklearn,1,10,train,0.3666666666666666
15,autosklearn,1,10,test,0.36666666666666664
15,autosklearn,1,15,train,0.40444444444444455
15,autosklearn,1,15,test,0.40444444444444444
15,autosklearn,1,20,train,0.4666666666666667
15,autosklearn,1,20,test,0.46666666666666673
15,metafeatx,2,5,train,0.29904761904761906
15,metafeatx,2,5,test,0.28
15,metafeatx,2,10,train,0.30857142857142855
15,metafeatx,2,10,test,0.2733333333333334
15,metafeatx,2,15,train,0.3885714285714287
15,metafeatx,2,15,test,0.36
15,metafeatx,2,20,train,0.4628571428571428
15,metafeatx,2,20,test,0.45
15,autosklearn,2,5,train,0.2933333333333332
15,autosklearn,2,5,test,0.29333333333333333
15,autosklearn,2,10,train,0.3466666666666666
15,autosklearn,2,10,test,0.3466666666666666
15,autosklearn,2,15,train,0.40444444444444455
15,autosklearn,2,15,test,0.40444444444444444
15,autosklearn,2,20,train,0.4799999999999999
15,autosklearn,2,20,test,0.4800000000000001
20,metafeatx,0,5,train,0.28210526315789475
20,metafeatx,0,5,test,0.25000000000000006
20,metafeatx,0,10,train,0.2992105263157895
20,metafeatx,0,10,test,0.255
20,metafeatx,0,15,train,0.368421052631579
20,metafeatx,0,15,test,0.3533333333333334
20,metafeatx,0,20,train,0.42526315789473684
20,metafeatx,0,20,test,0.4025
20,autosklearn,0,5,train,0.33
20,autosklearn,0,5,test,0.33
20,autosklearn,0,10,train,0.26
20,autosklearn,0,10,test,0.25999999999999995
20,autosklearn,0,15,train,0.31999999999999995
20,autosklearn,0,15,test,0.32
20,autosklearn,0,20,train,0.3900000000000001
20,autosklearn,0,20,test,0.39000000000000007
20,metafeatx,1,5,train,0.2747368421052632
20,metafeatx,1,5,test,0.2700000000000001
20,metafeatx,1,10,train,0.2907894736842106
20,metafeatx,1,10,test,0.3
20,metafeatx,1,15,train,0.3470175438596491
20,metafeatx,1,15,test,0.34
20,metafeatx,1,20,train,0.4113157894736842
20,metafeatx,1,20,test,0.40750000000000003
20,autosklearn,1,5,train,0.33999999999999997
20,autosklearn,1,5,test,0.34
20,autosklearn,1,10,train,0.335
20,autosklearn,1,10,test,0.33499999999999996
20,autosklearn,1,15,train,0.37
20,autosklearn,1,15,test,0.37000000000000005
20,autosklearn,1,20,train,0.4375
20,autosklearn,1,20,test,0.4375
20,metafeatx,2,5,train,0.3
20,metafeatx,2,5,test,0.29
20,metafeatx,2,10,train,0.3018421052631579
20,metafeatx,2,10,test,0.29500000000000004
20,metafeatx,2,15,train,0.35385964912280704
20,metafeatx,2,15,test,0.34
20,metafeatx,2,20,train,0.41276315789473694
20,metafeatx,2,20,test,0.3975000000000001
20,autosklearn,2,5,train,0.3399999999999999
20,autosklearn,2,5,test,0.33999999999999997
20,autosklearn,2,10,train,0.32999999999999996
20,autosklearn,2,10,test,0.32999999999999996
20,autosklearn,2,15,train,0.3733333333333334
20,autosklearn,2,15,test,0.37333333333333335
20,autosklearn,2,20,train,0.42250000000000004
20,autosklearn,2,20,test,0.42250000000000004
30,metafeatx,0,5,train,0.4158620689655172
30,metafeatx,0,5,test,0.3199999999999999
30,metafeatx,0,10,train,0.4519540229885058
30,metafeatx,0,10,test,0.33666666666666667
30,metafeatx,0,15,train,0.5065900383141764
30,metafeatx,0,15,test,0.3733333333333333
