pipeline,metafeature,openml_tid,ndcg,ndcg_score
libsvm_svc,metabu,3,25,0.64
libsvm_svc,metabu,6,25,0.8
libsvm_svc,metabu,11,25,0.6
libsvm_svc,metabu,12,25,0.76
libsvm_svc,metabu,14,25,0.72
libsvm_svc,metabu,15,25,0.72
libsvm_svc,metabu,16,25,0.72
libsvm_svc,metabu,18,25,0.68
libsvm_svc,metabu,22,25,0.68
libsvm_svc,metabu,23,25,0.76
libsvm_svc,metabu,28,25,0.8
libsvm_svc,metabu,29,25,0.72
libsvm_svc,metabu,31,25,0.72
libsvm_svc,metabu,32,25,0.64
libsvm_svc,metabu,37,25,0.8
libsvm_svc,metabu,43,25,0.72
libsvm_svc,metabu,45,25,0.64
libsvm_svc,metabu,49,25,0.64
libsvm_svc,metabu,53,25,0.68
libsvm_svc,metabu,219,25,0.84
libsvm_svc,metabu,2074,25,0.8
libsvm_svc,metabu,2079,25,0.84
libsvm_svc,metabu,3021,25,0.72
libsvm_svc,metabu,3022,25,0.84
libsvm_svc,metabu,3481,25,0.72
libsvm_svc,metabu,3549,25,0.84
libsvm_svc,metabu,3560,25,0.6
libsvm_svc,metabu,3573,25,0.68
libsvm_svc,metabu,3902,25,0.8
libsvm_svc,metabu,3903,25,0.8
libsvm_svc,metabu,3904,25,0.64
libsvm_svc,metabu,3913,25,0.72
libsvm_svc,metabu,3917,25,0.72
libsvm_svc,metabu,3918,25,0.84
libsvm_svc,metabu,7592,25,0.76
libsvm_svc,metabu,9910,25,0.8
libsvm_svc,metabu,9946,25,0.88
libsvm_svc,metabu,9952,25,0.88
libsvm_svc,metabu,9957,25,0.76
libsvm_svc,metabu,9960,25,0.68
libsvm_svc,metabu,9964,25,0.68
libsvm_svc,metabu,9971,25,0.56
libsvm_svc,metabu,9976,25,0.64
libsvm_svc,metabu,9977,25,0.8
libsvm_svc,metabu,9978,25,0.84
libsvm_svc,metabu,9981,25,0.76
libsvm_svc,metabu,9985,25,0.76
libsvm_svc,metabu,10093,25,0.72
libsvm_svc,metabu,10101,25,0.72
libsvm_svc,metabu,14952,25,0.76
libsvm_svc,metabu,14954,25,0.76
libsvm_svc,metabu,14965,25,0.84
libsvm_svc,metabu,14969,25,0.76
libsvm_svc,metabu,14970,25,0.8
libsvm_svc,metabu,125920,25,0.76
libsvm_svc,metabu,125922,25,0.72
libsvm_svc,metabu,146195,25,0.72
libsvm_svc,metabu,146800,25,0.6
libsvm_svc,metabu,146817,25,0.76
libsvm_svc,metabu,146819,25,0.52
libsvm_svc,metabu,146820,25,0.68
libsvm_svc,metabu,146821,25,0.76
libsvm_svc,metabu,146824,25,0.8
libsvm_svc,metabu,167125,25,0.76
libsvm_svc,AutoSklearn,3,25,0.44
libsvm_svc,AutoSklearn,6,25,0.52
libsvm_svc,AutoSklearn,11,25,0.4
libsvm_svc,AutoSklearn,12,25,0.56
libsvm_svc,AutoSklearn,14,25,0.48
libsvm_svc,AutoSklearn,15,25,0.44
libsvm_svc,AutoSklearn,16,25,0.56
libsvm_svc,AutoSklearn,18,25,0.44
libsvm_svc,AutoSklearn,22,25,0.56
libsvm_svc,AutoSklearn,23,25,0.52
libsvm_svc,AutoSklearn,28,25,0.56
libsvm_svc,AutoSklearn,29,25,0.52
libsvm_svc,AutoSklearn,31,25,0.44
libsvm_svc,AutoSklearn,32,25,0.6
libsvm_svc,AutoSklearn,37,25,0.44
libsvm_svc,AutoSklearn,43,25,0.4
libsvm_svc,AutoSklearn,45,25,0.4
libsvm_svc,AutoSklearn,49,25,0.52
libsvm_svc,AutoSklearn,53,25,0.52
libsvm_svc,AutoSklearn,219,25,0.48
libsvm_svc,AutoSklearn,2074,25,0.52
libsvm_svc,AutoSklearn,2079,25,0.52
libsvm_svc,AutoSklearn,3021,25,0.32
libsvm_svc,AutoSklearn,3022,25,0.64
libsvm_svc,AutoSklearn,3481,25,0.4
libsvm_svc,AutoSklearn,3549,25,0.52
libsvm_svc,AutoSklearn,3560,25,0.4
libsvm_svc,AutoSklearn,3573,25,0.44
libsvm_svc,AutoSklearn,3902,25,0.4
libsvm_svc,AutoSklearn,3903,25,0.4
libsvm_svc,AutoSklearn,3904,25,0.48
libsvm_svc,AutoSklearn,3913,25,0.4
libsvm_svc,AutoSklearn,3917,25,0.52
libsvm_svc,AutoSklearn,3918,25,0.44
libsvm_svc,AutoSklearn,7592,25,0.44
libsvm_svc,AutoSklearn,9910,25,0.64
libsvm_svc,AutoSklearn,9946,25,0.44
libsvm_svc,AutoSklearn,9952,25,0.44
libsvm_svc,AutoSklearn,9957,25,0.56
libsvm_svc,AutoSklearn,9960,25,0.48
libsvm_svc,AutoSklearn,9964,25,0.6
libsvm_svc,AutoSklearn,9971,25,0.48
libsvm_svc,AutoSklearn,9976,25,0.52
libsvm_svc,AutoSklearn,9977,25,0.44
libsvm_svc,AutoSklearn,9978,25,0.32
libsvm_svc,AutoSklearn,9981,25,0.48
libsvm_svc,AutoSklearn,9985,25,0.48
libsvm_svc,AutoSklearn,10093,25,0.48
libsvm_svc,AutoSklearn,10101,25,0.52
libsvm_svc,AutoSklearn,14952,25,0.56
libsvm_svc,AutoSklearn,14954,25,0.52
libsvm_svc,AutoSklearn,14965,25,0.48
libsvm_svc,AutoSklearn,14969,25,0.6
libsvm_svc,AutoSklearn,14970,25,0.56
libsvm_svc,AutoSklearn,125920,25,0.4
libsvm_svc,AutoSklearn,125922,25,0.6
libsvm_svc,AutoSklearn,146195,25,0.36
libsvm_svc,AutoSklearn,146800,25,0.4
libsvm_svc,AutoSklearn,146817,25,0.44
libsvm_svc,AutoSklearn,146819,25,0.4
libsvm_svc,AutoSklearn,146820,25,0.4
libsvm_svc,AutoSklearn,146821,25,0.44
libsvm_svc,AutoSklearn,146824,25,0.44
libsvm_svc,AutoSklearn,167125,25,0.56
libsvm_svc,Landmark,3,25,0.36
libsvm_svc,Landmark,6,25,0.44
libsvm_svc,Landmark,11,25,0.32
libsvm_svc,Landmark,12,25,0.36
libsvm_svc,Landmark,14,25,0.4
libsvm_svc,Landmark,15,25,0.44
libsvm_svc,Landmark,16,25,0.36
libsvm_svc,Landmark,18,25,0.44
libsvm_svc,Landmark,22,25,0.52
libsvm_svc,Landmark,23,25,0.56
libsvm_svc,Landmark,28,25,0.56
libsvm_svc,Landmark,29,25,0.48
libsvm_svc,Landmark,31,25,0.44
libsvm_svc,Landmark,32,25,0.48
libsvm_svc,Landmark,37,25,0.48
libsvm_svc,Landmark,43,25,0.32
libsvm_svc,Landmark,45,25,0.24
libsvm_svc,Landmark,49,25,0.28
libsvm_svc,Landmark,53,25,0.32
libsvm_svc,Landmark,219,25,0.36
libsvm_svc,Landmark,2074,25,0.44
libsvm_svc,Landmark,2079,25,0.44
libsvm_svc,Landmark,3021,25,0.44
libsvm_svc,Landmark,3022,25,0.56
libsvm_svc,Landmark,3481,25,0.36
libsvm_svc,Landmark,3549,25,0.36
libsvm_svc,Landmark,3560,25,0.44
libsvm_svc,Landmark,3573,25,0.48
libsvm_svc,Landmark,3902,25,0.44
libsvm_svc,Landmark,3903,25,0.36
libsvm_svc,Landmark,3904,25,0.4
libsvm_svc,Landmark,3913,25,0.4
libsvm_svc,Landmark,3917,25,0.52
libsvm_svc,Landmark,3918,25,0.36
libsvm_svc,Landmark,7592,25,0.48
libsvm_svc,Landmark,9910,25,0.52
libsvm_svc,Landmark,9946,25,0.44
libsvm_svc,Landmark,9952,25,0.44
libsvm_svc,Landmark,9957,25,0.48
libsvm_svc,Landmark,9960,25,0.4
libsvm_svc,Landmark,9964,25,0.6
libsvm_svc,Landmark,9971,25,0.48
libsvm_svc,Landmark,9976,25,0.4
libsvm_svc,Landmark,9977,25,0.32
libsvm_svc,Landmark,9978,25,0.4
libsvm_svc,Landmark,9981,25,0.4
libsvm_svc,Landmark,9985,25,0.48
libsvm_svc,Landmark,10093,25,0.28
libsvm_svc,Landmark,10101,25,0.36
libsvm_svc,Landmark,14952,25,0.4
libsvm_svc,Landmark,14954,25,0.4
libsvm_svc,Landmark,14965,25,0.4
libsvm_svc,Landmark,14969,25,0.48
libsvm_svc,Landmark,14970,25,0.48
libsvm_svc,Landmark,125920,25,0.4
libsvm_svc,Landmark,125922,25,0.44
libsvm_svc,Landmark,146195,25,0.4
libsvm_svc,Landmark,146800,25,0.32
libsvm_svc,Landmark,146817,25,0.44
libsvm_svc,Landmark,146819,25,0.52
libsvm_svc,Landmark,146820,25,0.32
libsvm_svc,Landmark,146821,25,0.32
libsvm_svc,Landmark,146824,25,0.36
libsvm_svc,Landmark,167125,25,0.4
libsvm_svc,SCOT,3,25,0.36
libsvm_svc,SCOT,6,25,0.6
libsvm_svc,SCOT,11,25,0.36
libsvm_svc,SCOT,12,25,0.28
libsvm_svc,SCOT,14,25,0.36
libsvm_svc,SCOT,15,25,0.4
libsvm_svc,SCOT,16,25,0.36
libsvm_svc,SCOT,18,25,0.4
libsvm_svc,SCOT,22,25,0.36
libsvm_svc,SCOT,23,25,0.36
libsvm_svc,SCOT,28,25,0.4
libsvm_svc,SCOT,29,25,0.4
libsvm_svc,SCOT,31,25,0.4
libsvm_svc,SCOT,32,25,0.48
libsvm_svc,SCOT,37,25,0.4
libsvm_svc,SCOT,43,25,0.28
libsvm_svc,SCOT,45,25,0.4
libsvm_svc,SCOT,49,25,0.48
libsvm_svc,SCOT,53,25,0.4
