Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
sick_38,none,onehot,random_trees_embedding,quantile,BernoulliNB(),0,0.847682119205298,0.0064001083374023,0.0016853809356689,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,BernoulliNB(),1,0.8278145695364238,0.0058777332305908,0.0010066032409667,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,BernoulliNB(),0,0.823841059602649,0.005824327468872,0.0009865760803222,sick_38_results_BernoulliNB().csv
sick_38,none,onehot,random_trees_embedding,quantile,BernoulliNB(),1,0.8145695364238411,0.00569748878479,0.001596450805664,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,BernoulliNB(),4,0.8143236074270557,0.0060019493103027,0.000950813293457,sick_38_results_BernoulliNB().csv
sick_38,none,onehot,random_trees_embedding,quantile,BernoulliNB(),4,0.8037135278514589,0.0058124065399169,0.0015854835510253,sick_38_results_BernoulliNB().csv
sick_38,none,onehot,random_trees_embedding,quantile,BernoulliNB(),3,0.8023872679045093,0.0058722496032714,0.0009901523590087,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,none,BernoulliNB(),0,0.7973509933774835,0.0058329105377197,0.0012845993041992,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,BernoulliNB(),0,0.7973509933774835,0.0058755874633789,0.0010111331939697,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,BernoulliNB(),0,0.7973509933774835,0.005958080291748,0.0010395050048828,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,BernoulliNB(),0,0.7973509933774835,0.0059101581573486,0.0016403198242187,sick_38_results_BernoulliNB().csv
sick_38,none,onehot,random_trees_embedding,minmax,BernoulliNB(),0,0.7880794701986755,0.0065009593963623,0.0012671947479248,sick_38_results_BernoulliNB().csv
sick_38,none,onehot,random_trees_embedding,robust,BernoulliNB(),0,0.7880794701986755,0.0057504177093505,0.0015749931335449,sick_38_results_BernoulliNB().csv
sick_38,none,onehot,random_trees_embedding,none,BernoulliNB(),0,0.7880794701986755,0.0086777210235595,0.0013949871063232,sick_38_results_BernoulliNB().csv
sick_38,none,onehot,random_trees_embedding,standard,BernoulliNB(),0,0.7880794701986755,0.0064749717712402,0.0009994506835937,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,BernoulliNB(),3,0.7877984084880637,0.0057840347290039,0.0016098022460937,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,BernoulliNB(),4,0.7851458885941645,0.0059194564819335,0.0009751319885253,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,BernoulliNB(),4,0.7851458885941645,0.0059895515441894,0.0016632080078125,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,BernoulliNB(),4,0.7851458885941645,0.0057711601257324,0.00132417678833,sick_38_results_BernoulliNB().csv
sick_38,none,ordinalencoder,random_trees_embedding,none,BernoulliNB(),4,0.7851458885941645,0.0058345794677734,0.001633882522583,sick_38_results_BernoulliNB().csv
autoUniv-au6-1000_1555,none,onehot,select_percentile,standard,BernoulliNB(),3,0.32,0.00238037109375,0.000312328338623,autoUniv-au6-1000_1555_results_BernoulliNB().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,select_percentile,standard,BernoulliNB(),3,0.32,0.0023424625396728,0.0003104209899902,autoUniv-au6-1000_1555_results_BernoulliNB().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,select_percentile,standard,BernoulliNB(),3,0.315,0.0022549629211425,0.0003037452697753,autoUniv-au6-1000_1555_results_BernoulliNB().csv
autoUniv-au6-1000_1555,none,ordinalencoder,select_percentile,standard,BernoulliNB(),3,0.315,0.0022556781768798,0.000314712524414,autoUniv-au6-1000_1555_results_BernoulliNB().csv
