Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
sick_38,none,onehot,none,none,DecisionTreeClassifier(random_state=0),0,0.9933774834437086,0.0092124938964843,0.0003178119659423,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,none,robust,DecisionTreeClassifier(random_state=0),0,0.9933774834437086,0.008918285369873,0.0002532005310058,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,none,DecisionTreeClassifier(random_state=0),0,0.9933774834437086,0.0072357654571533,0.0003433227539062,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,none,none,DecisionTreeClassifier(random_state=0),0,0.9933774834437086,0.012477159500122,0.0021669864654541,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,none,robust,DecisionTreeClassifier(random_state=0),0,0.9933774834437086,0.0076925754547119,0.000251293182373,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,robust,DecisionTreeClassifier(random_state=0),0,0.9933774834437086,0.0063912868499755,0.0002083778381347,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,standard,DecisionTreeClassifier(random_state=0),4,0.993368700265252,0.0069098472595214,0.0002453327178955,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,none,DecisionTreeClassifier(random_state=0),4,0.993368700265252,0.0066444873809814,0.0002326965332031,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,minmax,DecisionTreeClassifier(random_state=0),4,0.993368700265252,0.0066251754760742,0.0002317428588867,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,robust,DecisionTreeClassifier(random_state=0),4,0.993368700265252,0.0069532394409179,0.0002257823944091,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,quantile,DecisionTreeClassifier(random_state=0),4,0.993368700265252,0.0065119266510009,0.0002162456512451,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,none,minmax,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0078954696655273,0.0002527236938476,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,none,minmax,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0088751316070556,0.0002460479736328,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,robust,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0065479278564453,0.0002121925354003,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,none,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0064437389373779,0.0002021789550781,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,minmax,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0064547061920166,0.0002110004425048,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,none,standard,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0079472064971923,0.000272512435913,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,standard,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0064277648925781,0.0002095699310302,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,onehot,none,standard,DecisionTreeClassifier(random_state=0),0,0.9920529801324504,0.0089783668518066,0.0002832412719726,sick_38_results_DecisionTreeClassifier(random_state=0).csv
sick_38,none,ordinalencoder,none,quantile,DecisionTreeClassifier(random_state=0),3,0.9920424403183024,0.0074703693389892,0.0002448558807373,sick_38_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,nystroem,none,DecisionTreeClassifier(random_state=0),3,0.31,0.0157594680786132,0.0003485679626464,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,nystroem,none,DecisionTreeClassifier(random_state=0),3,0.31,0.0145125389099121,0.0003204345703125,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,nystroem,none,DecisionTreeClassifier(random_state=0),3,0.31,0.0138406753540039,0.0002267360687255,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,nystroem,none,DecisionTreeClassifier(random_state=0),3,0.31,0.0138072967529296,0.000223159790039,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,linear_svc,quantile,DecisionTreeClassifier(random_state=0),3,0.305,0.0081837177276611,0.0002455711364746,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,linear_svc,quantile,DecisionTreeClassifier(random_state=0),3,0.305,0.0078334808349609,0.0001537799835205,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,select_percentile,quantile,DecisionTreeClassifier(random_state=0),3,0.29,0.0038728713989257,0.0001692771911621,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,select_percentile,quantile,DecisionTreeClassifier(random_state=0),3,0.29,0.0037951469421386,0.0001487731933593,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,select_percentile,quantile,DecisionTreeClassifier(random_state=0),0,0.285,0.0037126541137695,0.0001528263092041,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,extra_tree,quantile,DecisionTreeClassifier(random_state=0),0,0.285,0.012958288192749,0.0002577304840087,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,select_percentile,quantile,DecisionTreeClassifier(random_state=0),0,0.285,0.0038149356842041,0.0001542568206787,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,extra_tree,quantile,DecisionTreeClassifier(random_state=0),0,0.285,0.0124063491821289,0.000169038772583,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,extra_tree,none,DecisionTreeClassifier(random_state=0),0,0.27,0.0136806964874267,0.0002696514129638,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,extra_tree,standard,DecisionTreeClassifier(random_state=0),0,0.27,0.0132272243499755,0.0001540184020996,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,extra_tree,standard,DecisionTreeClassifier(random_state=0),0,0.27,0.0132067203521728,0.0001702308654785,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,extra_tree,minmax,DecisionTreeClassifier(random_state=0),0,0.27,0.0134022235870361,0.0001587867736816,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,extra_tree,none,DecisionTreeClassifier(random_state=0),0,0.27,0.0140306949615478,0.000314712524414,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,extra_tree,minmax,DecisionTreeClassifier(random_state=0),0,0.27,0.0130834579467773,0.0001697540283203,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,polynomial_features,none,DecisionTreeClassifier(random_state=0),0,0.27,0.546565055847168,0.0006616115570068,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,extra_tree,robust,DecisionTreeClassifier(random_state=0),0,0.27,0.0131208896636962,0.0001561641693115,autoUniv-au6-1000_1555_results_DecisionTreeClassifier(random_state=0).csv
