Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,select_percentile,quantile,GaussianNB(),3,0.325,0.0015628337860107,0.000317096710205,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,ordinalencoder,generic_univariate,quantile,GaussianNB(),3,0.325,0.001805305480957,0.000309944152832,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,generic_univariate,quantile,GaussianNB(),3,0.325,0.0017440319061279,0.0003364086151123,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,onehot,generic_univariate,quantile,GaussianNB(),3,0.325,0.0017659664154052,0.0002944469451904,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,ordinalencoder,select_percentile,quantile,GaussianNB(),3,0.325,0.0016078948974609,0.0003151893615722,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,generic_univariate,quantile,GaussianNB(),3,0.325,0.0017182826995849,0.0003597736358642,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,select_percentile,quantile,GaussianNB(),3,0.32,0.0017080307006835,0.0003259181976318,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,onehot,select_percentile,quantile,GaussianNB(),3,0.32,0.0016007423400878,0.0003209114074707,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,generic_univariate,power,GaussianNB(),3,0.315,0.0015475749969482,0.0002946853637695,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,ordinalencoder,generic_univariate,power,GaussianNB(),3,0.315,0.001800537109375,0.0003325939178466,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,onehot,generic_univariate,power,GaussianNB(),3,0.315,0.0017390251159667,0.0002961158752441,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,generic_univariate,power,GaussianNB(),3,0.315,0.0015671253204345,0.0002939701080322,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,generic_univariate,normalizer,GaussianNB(),3,0.31,0.0015792846679687,0.0002956390380859,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,truncated_svd,normalizer,GaussianNB(),3,0.31,0.0015811920166015,0.0003392696380615,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,select_percentile,none,GaussianNB(),3,0.31,0.0017275810241699,0.0003225803375244,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,truncated_svd,normalizer,GaussianNB(),3,0.31,0.0016403198242187,0.0003724098205566,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,ordinalencoder,generic_univariate,normalizer,GaussianNB(),3,0.31,0.0015537738800048,0.0002906322479248,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,ordinalencoder,truncated_svd,normalizer,GaussianNB(),3,0.31,0.0021014213562011,0.0003952980041503,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,select_percentile,none,GaussianNB(),3,0.31,0.0019357204437255,0.0003767013549804,autoUniv-au6-1000_1555_results_GaussianNB().csv
autoUniv-au6-1000_1555,none,onehot,generic_univariate,normalizer,GaussianNB(),3,0.31,0.0015559196472167,0.0002925395965576,autoUniv-au6-1000_1555_results_GaussianNB().csv
analcatdata_creditscore_461,none,none,truncated_svd,none,GaussianNB(),1,1.0,0.0006439685821533,0.0001344680786132,analcatdata_creditscore_461_results_GaussianNB().csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,kernel_pca,quantile,GaussianNB(),3,1.0,0.0008783340454101,0.0001618862152099,analcatdata_creditscore_461_results_GaussianNB().csv
