Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,KNeighborsClassifier(),0,0.9536423841059604,0.0024454593658447,0.4517645835876465,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,KNeighborsClassifier(),0,0.9536423841059604,0.0024044513702392,0.4557688236236572,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,KNeighborsClassifier(),0,0.9536423841059604,0.0022964477539062,0.4595887660980224,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,none,KNeighborsClassifier(),0,0.9536423841059604,0.0026719570159912,0.4515960216522217,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,KNeighborsClassifier(),4,0.9522546419098143,0.0023412704467773,0.3969728946685791,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,KNeighborsClassifier(),4,0.9522546419098143,0.0022857189178466,0.4528810977935791,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,none,KNeighborsClassifier(),4,0.9522546419098143,0.0024428367614746,0.4445648193359375,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,KNeighborsClassifier(),4,0.9522546419098143,0.0023200511932373,0.4486260414123535,sick_38_results_KNeighborsClassifier().csv
sick_38,none,onehot,random_trees_embedding,quantile,KNeighborsClassifier(),4,0.9509283819628648,0.0023112297058105,0.2336678504943847,sick_38_results_KNeighborsClassifier().csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,KNeighborsClassifier(),0,0.9496688741721856,0.0023064613342285,0.3341760635375976,sick_38_results_KNeighborsClassifier().csv
sick_38,none,onehot,random_trees_embedding,quantile,KNeighborsClassifier(),0,0.9496688741721856,0.0023880004882812,0.3407950401306152,sick_38_results_KNeighborsClassifier().csv
sick_38,none,onehot,random_trees_embedding,minmax,KNeighborsClassifier(),0,0.9496688741721856,0.0024111270904541,0.3229353427886963,sick_38_results_KNeighborsClassifier().csv
sick_38,none,onehot,random_trees_embedding,robust,KNeighborsClassifier(),0,0.9496688741721856,0.0023388862609863,0.4383401870727539,sick_38_results_KNeighborsClassifier().csv
sick_38,none,onehot,random_trees_embedding,none,KNeighborsClassifier(),0,0.9496688741721856,0.0024495124816894,0.4403440952301025,sick_38_results_KNeighborsClassifier().csv
