Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
autoUniv-au6-1000_1555,none,onehot,generic_univariate,quantile,LinearDiscriminantAnalysis(),3,0.325,0.0017976760864257,0.0001101493835449,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,generic_univariate,quantile,LinearDiscriminantAnalysis(),3,0.325,0.0019166469573974,0.0001187324523925,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,ordinalencoder,generic_univariate,quantile,LinearDiscriminantAnalysis(),3,0.325,0.0019383430480957,0.0001144409179687,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,generic_univariate,quantile,LinearDiscriminantAnalysis(),3,0.325,0.0017783641815185,0.000112771987915,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,feature_agglomeration,none,LinearDiscriminantAnalysis(),3,0.315,0.0019059181213378,0.0001153945922851,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,ordinalencoder,feature_agglomeration,none,LinearDiscriminantAnalysis(),3,0.315,0.0017940998077392,0.0001108646392822,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,feature_agglomeration,none,LinearDiscriminantAnalysis(),3,0.315,0.001906394958496,0.0001158714294433,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,onehot,feature_agglomeration,none,LinearDiscriminantAnalysis(),3,0.315,0.0024249553680419,0.0001306533813476,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,generic_univariate,minmax,LinearDiscriminantAnalysis(),3,0.31,0.0017318725585937,0.0001068115234375,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,ordinalencoder,nystroem,none,LinearDiscriminantAnalysis(),3,0.31,0.0629200935363769,0.0002477169036865,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,generic_univariate,none,LinearDiscriminantAnalysis(),3,0.31,0.0018017292022705,0.0001130104064941,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,nystroem,none,LinearDiscriminantAnalysis(),3,0.31,0.0825273990631103,0.0002870559692382,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,generic_univariate,normalizer,LinearDiscriminantAnalysis(),3,0.31,0.0018043518066406,0.000112771987915,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,onehot,truncated_svd,robust,LinearDiscriminantAnalysis(),3,0.31,0.0017712116241455,0.0001089572906494,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,truncated_svd,none,LinearDiscriminantAnalysis(),3,0.31,0.0024137496948242,0.0001511573791503,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,onehot,truncated_svd,none,LinearDiscriminantAnalysis(),3,0.31,0.0022201538085937,0.0001323223114013,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,onehot,generic_univariate,none,LinearDiscriminantAnalysis(),3,0.31,0.0017478466033935,0.0001108646392822,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,ordinalencoder,generic_univariate,none,LinearDiscriminantAnalysis(),3,0.31,0.0020031929016113,0.0001373291015625,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,truncated_svd,robust,LinearDiscriminantAnalysis(),3,0.31,0.0024807453155517,0.0001182556152343,autoUniv-au6-1000_1555_results_LinearDiscriminantAnalysis().csv
