Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
sick_38,none,onehot,random_trees_embedding,quantile,PassiveAggressiveClassifier(random_state=0),1,0.9668874172185432,0.0159776210784912,0.0003087520599365,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,PassiveAggressiveClassifier(random_state=0),0,0.9589403973509932,0.0191876888275146,0.0004045963287353,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,none,PassiveAggressiveClassifier(random_state=0),0,0.9589403973509932,0.0204477310180664,0.0003840923309326,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,PassiveAggressiveClassifier(random_state=0),0,0.9589403973509932,0.0191702842712402,0.0004162788391113,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,PassiveAggressiveClassifier(random_state=0),0,0.9589403973509932,0.019343614578247,0.0003969669342041,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,none,PassiveAggressiveClassifier(random_state=0),0,0.9576158940397352,0.0196413993835449,0.000413179397583,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,minmax,PassiveAggressiveClassifier(random_state=0),0,0.9576158940397352,0.0201129913330078,0.0004098415374755,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,standard,PassiveAggressiveClassifier(random_state=0),0,0.9576158940397352,0.0194964408874511,0.0003504753112792,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,robust,PassiveAggressiveClassifier(random_state=0),0,0.9576158940397352,0.0195114612579345,0.0003437995910644,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,PassiveAggressiveClassifier(random_state=0),4,0.9522546419098143,0.0141098499298095,0.0003635883331298,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,PassiveAggressiveClassifier(random_state=0),4,0.9522546419098143,0.0123000144958496,0.0003550052642822,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,none,PassiveAggressiveClassifier(random_state=0),4,0.9522546419098143,0.0128498077392578,0.0003275871276855,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,PassiveAggressiveClassifier(random_state=0),4,0.9522546419098143,0.0123219490051269,0.0003387928009033,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,quantile,PassiveAggressiveClassifier(random_state=0),0,0.9509933774834436,0.01707124710083,0.000335693359375,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,PassiveAggressiveClassifier(random_state=0),3,0.9482758620689656,0.0279109477996826,0.0004041194915771,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,PassiveAggressiveClassifier(random_state=0),4,0.9482758620689656,0.0302402973175048,0.0003972053527832,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,PassiveAggressiveClassifier(random_state=0),1,0.9470198675496688,0.0148937702178955,0.0004384517669677,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,PassiveAggressiveClassifier(random_state=0),1,0.9470198675496688,0.0150415897369384,0.0003230571746826,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,PassiveAggressiveClassifier(random_state=0),1,0.9470198675496688,0.0155704021453857,0.0003862380981445,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,PassiveAggressiveClassifier(random_state=0),1,0.9470198675496688,0.0308682918548584,0.0004341602325439,sick_38_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,rbf_sampler,normalizer,PassiveAggressiveClassifier(random_state=0),3,0.25,0.0234715938568115,0.0003154277801513,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,rbf_sampler,normalizer,PassiveAggressiveClassifier(random_state=0),3,0.25,0.0231359004974365,0.0002417564392089,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,generic_univariate,none,PassiveAggressiveClassifier(random_state=0),0,0.24,0.0066199302673339,0.0001347064971923,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,generic_univariate,none,PassiveAggressiveClassifier(random_state=0),0,0.24,0.0067324638366699,0.000152587890625,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,select_percentile,quantile,PassiveAggressiveClassifier(random_state=0),3,0.24,0.0070381164550781,0.0001418590545654,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,generic_univariate,none,PassiveAggressiveClassifier(random_state=0),0,0.24,0.0065648555755615,0.0001335144042968,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,generic_univariate,none,PassiveAggressiveClassifier(random_state=0),0,0.24,0.0067787170410156,0.0001797676086425,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,select_percentile,quantile,PassiveAggressiveClassifier(random_state=0),3,0.24,0.007169485092163,0.0001640319824218,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,truncated_svd,standard,PassiveAggressiveClassifier(random_state=0),2,0.23,0.0061912536621093,0.000133991241455,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,truncated_svd,standard,PassiveAggressiveClassifier(random_state=0),2,0.23,0.0080194473266601,0.0001630783081054,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,truncated_svd,power,PassiveAggressiveClassifier(random_state=0),2,0.23,0.0068395137786865,0.000136375427246,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,truncated_svd,power,PassiveAggressiveClassifier(random_state=0),2,0.23,0.0070419311523437,0.0001502037048339,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,kernel_pca,normalizer,PassiveAggressiveClassifier(random_state=0),2,0.225,0.0128312110900878,0.000187873840332,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,kernel_pca,normalizer,PassiveAggressiveClassifier(random_state=0),2,0.225,0.013953685760498,0.0003247261047363,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,polynomial_features,power,PassiveAggressiveClassifier(random_state=0),3,0.22,0.245924711227417,0.0005974769592285,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,polynomial_features,power,PassiveAggressiveClassifier(random_state=0),3,0.22,0.2474315166473388,0.0006079673767089,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,random_trees_embedding,normalizer,PassiveAggressiveClassifier(random_state=0),1,0.22,0.056899070739746,0.0003035068511962,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,random_trees_embedding,normalizer,PassiveAggressiveClassifier(random_state=0),1,0.22,0.0569593906402587,0.0003011226654052,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,random_trees_embedding,robust,PassiveAggressiveClassifier(random_state=0),3,0.215,0.0332028865814209,0.0003395080566406,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,pca,quantile,PassiveAggressiveClassifier(random_state=0),4,0.215,0.0098927021026611,0.0002145767211914,autoUniv-au6-1000_1555_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,truncated_svd,none,PassiveAggressiveClassifier(random_state=0),1,1.0,0.000988483428955,0.000115156173706,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,kernel_pca,quantile,PassiveAggressiveClassifier(random_state=0),4,1.0,0.0013904571533203,0.000171422958374,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,PassiveAggressiveClassifier(random_state=0),0,1.0,0.0021553039550781,0.0008814334869384,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,PassiveAggressiveClassifier(random_state=0),1,1.0,0.0018048286437988,0.0008823871612548,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,truncated_svd,none,PassiveAggressiveClassifier(random_state=0),0,1.0,0.0011043548583984,0.0001204013824462,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,PassiveAggressiveClassifier(random_state=0),3,1.0,0.0018045902252197,0.0008578300476074,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,PassiveAggressiveClassifier(random_state=0),4,1.0,0.0018894672393798,0.0008230209350585,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,fastica,none,PassiveAggressiveClassifier(random_state=0),0,1.0,0.0010828971862792,0.000117540359497,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,truncated_svd,none,PassiveAggressiveClassifier(random_state=0),4,1.0,0.00103759765625,0.000115156173706,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,kernel_pca,quantile,PassiveAggressiveClassifier(random_state=0),1,1.0,0.0013442039489746,0.0001552104949951,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,kernel_pca,quantile,PassiveAggressiveClassifier(random_state=0),0,1.0,0.0011062622070312,0.0002329349517822,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,truncated_svd,none,PassiveAggressiveClassifier(random_state=0),3,1.0,0.000974416732788,0.0001132488250732,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,polynomial_features,none,PassiveAggressiveClassifier(random_state=0),3,1.0,0.0010693073272705,0.0001177787780761,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,fastica,quantile,PassiveAggressiveClassifier(random_state=0),4,1.0,0.0010263919830322,0.0001156330108642,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,polynomial_features,none,PassiveAggressiveClassifier(random_state=0),1,1.0,0.0011193752288818,0.0001225471496582,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,pca,quantile,PassiveAggressiveClassifier(random_state=0),0,1.0,0.0010905265808105,0.0001180171966552,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,pca,quantile,PassiveAggressiveClassifier(random_state=0),1,1.0,0.0010526180267333,0.000117540359497,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,ordinalencoder,rbf_sampler,quantile,PassiveAggressiveClassifier(random_state=0),3,1.0,0.0017955303192138,0.0001523494720458,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
analcatdata_creditscore_461,none,ordinalencoder,random_trees_embedding,quantile,PassiveAggressiveClassifier(random_state=0),0,1.0,0.001133918762207,0.0001168251037597,analcatdata_creditscore_461_results_PassiveAggressiveClassifier(random_state=0).csv
