Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,generic_univariate,quantile,QuadraticDiscriminantAnalysis(),3,0.325,0.0015180110931396,0.0002856254577636,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,ordinalencoder,generic_univariate,quantile,QuadraticDiscriminantAnalysis(),3,0.325,0.0016121864318847,0.0003178119659423,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,onehot,generic_univariate,quantile,QuadraticDiscriminantAnalysis(),3,0.325,0.0015599727630615,0.0002877712249755,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,generic_univariate,quantile,QuadraticDiscriminantAnalysis(),3,0.325,0.0014898777008056,0.0002815723419189,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,ordinalencoder,feature_agglomeration,power,QuadraticDiscriminantAnalysis(),3,0.315,0.0015785694122314,0.0003347396850585,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,ordinalencoder,select_percentile,quantile,QuadraticDiscriminantAnalysis(),3,0.315,0.0017008781433105,0.0003449916839599,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,select_percentile,quantile,QuadraticDiscriminantAnalysis(),3,0.315,0.0016674995422363,0.0003421306610107,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,feature_agglomeration,power,QuadraticDiscriminantAnalysis(),3,0.315,0.0015413761138916,0.0003316402435302,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,simpleimputer,onehot,nystroem,robust,QuadraticDiscriminantAnalysis(),3,0.31,0.0441341400146484,0.002288818359375,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
autoUniv-au6-1000_1555,none,onehot,rbf_sampler,standard,QuadraticDiscriminantAnalysis(),3,0.31,0.027552843093872,0.0021498203277587,autoUniv-au6-1000_1555_results_QuadraticDiscriminantAnalysis().csv
