Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
sick_38,none,ordinalencoder,extra_tree,quantile,RandomForestClassifier(random_state=0),0,0.9933774834437086,0.2502031326293945,0.0085024833679199,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,standard,RandomForestClassifier(random_state=0),0,0.990728476821192,0.2473797798156738,0.0083122253417968,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,none,RandomForestClassifier(random_state=0),0,0.990728476821192,0.2533411979675293,0.0090844631195068,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,minmax,RandomForestClassifier(random_state=0),0,0.990728476821192,0.2512128353118896,0.0085906982421875,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,robust,RandomForestClassifier(random_state=0),0,0.990728476821192,0.2537233829498291,0.0086948871612548,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,minmax,RandomForestClassifier(random_state=0),3,0.9893899204244032,0.2611851692199707,0.0096654891967773,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,quantile,RandomForestClassifier(random_state=0),0,0.9880794701986756,0.2432167530059814,0.0085313320159912,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,none,RandomForestClassifier(random_state=0),3,0.9880636604774536,0.2506849765777588,0.0086350440979003,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,robust,RandomForestClassifier(random_state=0),3,0.9880636604774536,0.2483835220336914,0.0085346698760986,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,quantile,RandomForestClassifier(random_state=0),3,0.9880636604774536,0.2503042221069336,0.0084743499755859,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,extra_tree,standard,RandomForestClassifier(random_state=0),3,0.9880636604774536,0.2604141235351562,0.0089602470397949,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,none,quantile,RandomForestClassifier(random_state=0),0,0.9867549668874172,0.2438318729400634,0.0094149112701416,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,ordinalencoder,none,quantile,RandomForestClassifier(random_state=0),0,0.9867549668874172,0.2628796100616455,0.0091168880462646,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,standard,RandomForestClassifier(random_state=0),3,0.986737400530504,0.2434403896331787,0.008324384689331,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,minmax,RandomForestClassifier(random_state=0),3,0.986737400530504,0.2434835433959961,0.0084893703460693,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,quantile,RandomForestClassifier(random_state=0),3,0.986737400530504,0.2375705242156982,0.0083777904510498,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,robust,RandomForestClassifier(random_state=0),3,0.986737400530504,0.2425930500030517,0.0083820819854736,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,none,RandomForestClassifier(random_state=0),3,0.986737400530504,0.24448823928833,0.0086042881011962,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,extra_tree,robust,RandomForestClassifier(random_state=0),0,0.9854304635761588,0.2493126392364502,0.0085034370422363,sick_38_results_RandomForestClassifier(random_state=0).csv
sick_38,none,onehot,none,robust,RandomForestClassifier(random_state=0),0,0.9854304635761588,0.2409639358520507,0.0093083381652832,sick_38_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,polynomial_features,standard,RandomForestClassifier(random_state=0),3,0.345,1.5265960693359375,0.0069916248321533,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,polynomial_features,standard,RandomForestClassifier(random_state=0),3,0.345,1.511451005935669,0.0069408416748046,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,polynomial_features,power,RandomForestClassifier(random_state=0),3,0.34,1.505122423171997,0.0072302818298339,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,polynomial_features,power,RandomForestClassifier(random_state=0),3,0.34,1.4873266220092771,0.0070812702178955,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,extra_tree,power,RandomForestClassifier(random_state=0),3,0.34,0.3522138595581054,0.0068874359130859,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,extra_tree,power,RandomForestClassifier(random_state=0),3,0.34,0.3236517906188965,0.0066561698913574,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,linear_svc,standard,RandomForestClassifier(random_state=0),3,0.335,0.2908627986907959,0.0067188739776611,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,none,power,RandomForestClassifier(random_state=0),3,0.335,0.3294353485107422,0.0064046382904052,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,extra_tree,quantile,RandomForestClassifier(random_state=0),3,0.335,0.3224067687988281,0.0064456462860107,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,onehot,none,power,RandomForestClassifier(random_state=0),3,0.335,0.3292253017425537,0.0066394805908203,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,extra_tree,quantile,RandomForestClassifier(random_state=0),3,0.335,0.3057122230529785,0.0061984062194824,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,onehot,linear_svc,standard,RandomForestClassifier(random_state=0),3,0.335,0.3023369312286377,0.0066547393798828,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,none,minmax,RandomForestClassifier(random_state=0),3,0.33,0.3629512786865234,0.0066218376159667,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,none,none,RandomForestClassifier(random_state=0),3,0.33,0.3508529663085937,0.0079925060272216,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,polynomial_features,robust,RandomForestClassifier(random_state=0),3,0.33,1.499316692352295,0.007134199142456,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,none,none,RandomForestClassifier(random_state=0),3,0.33,0.3503105640411377,0.0080196857452392,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,none,minmax,RandomForestClassifier(random_state=0),3,0.33,0.352311372756958,0.0065767765045166,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,polynomial_features,robust,RandomForestClassifier(random_state=0),3,0.33,1.4994215965270996,0.0070838928222656,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,simpleimputer,ordinalencoder,linear_svc,minmax,RandomForestClassifier(random_state=0),3,0.325,0.2881052494049072,0.0066781044006347,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
autoUniv-au6-1000_1555,none,ordinalencoder,extra_tree,standard,RandomForestClassifier(random_state=0),3,0.325,0.2793312072753906,0.0065071582794189,autoUniv-au6-1000_1555_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,kernel_pca,quantile,RandomForestClassifier(random_state=0),0,1.0,0.1007699966430664,0.0040717124938964,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,RandomForestClassifier(random_state=0),0,1.0,0.1053037643432617,0.0052363872528076,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,RandomForestClassifier(random_state=0),1,1.0,0.1032831668853759,0.005101203918457,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,linear_svc,quantile,RandomForestClassifier(random_state=0),4,1.0,0.0928735733032226,0.0038075447082519,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,RandomForestClassifier(random_state=0),3,1.0,0.1024837493896484,0.0051965713500976,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,none,none,RandomForestClassifier(random_state=0),4,1.0,0.1053285598754882,0.0057296752929687,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,pca,none,RandomForestClassifier(random_state=0),0,1.0,0.1095709800720214,0.0044975280761718,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,pca,none,RandomForestClassifier(random_state=0),1,1.0,0.1046621799468994,0.0041913986206054,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,linear_svc,quantile,RandomForestClassifier(random_state=0),3,1.0,0.0929279327392578,0.0039319992065429,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,pca,none,RandomForestClassifier(random_state=0),3,1.0,0.1038296222686767,0.0041999816894531,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,none,none,pca,none,RandomForestClassifier(random_state=0),4,1.0,0.1068296432495117,0.0042052268981933,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,linear_svc,quantile,RandomForestClassifier(random_state=0),1,1.0,0.0925323963165283,0.0038723945617675,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,linear_svc,quantile,RandomForestClassifier(random_state=0),0,1.0,0.0938167572021484,0.0038371086120605,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,extra_tree,quantile,RandomForestClassifier(random_state=0),4,1.0,0.0949828624725341,0.0039534568786621,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,extra_tree,quantile,RandomForestClassifier(random_state=0),3,1.0,0.0983045101165771,0.0040602684020996,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,select_percentile,quantile,RandomForestClassifier(random_state=0),0,1.0,0.0964610576629638,0.0039632320404052,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,select_percentile,quantile,RandomForestClassifier(random_state=0),1,1.0,0.0933876037597656,0.0038149356842041,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
analcatdata_creditscore_461,simpleimputer,ordinalencoder,select_percentile,quantile,RandomForestClassifier(random_state=0),3,1.0,0.0935406684875488,0.003791332244873,analcatdata_creditscore_461_results_RandomForestClassifier(random_state=0).csv
