Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
sick_38,none,onehot,random_trees_embedding,none,SGDClassifier(random_state=0),0,0.9562913907284768,0.0228884220123291,0.0004825592041015,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,standard,SGDClassifier(random_state=0),0,0.9562913907284768,0.0214760303497314,0.0003478527069091,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,robust,SGDClassifier(random_state=0),0,0.9562913907284768,0.0220215320587158,0.0003812313079833,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,minmax,SGDClassifier(random_state=0),0,0.9562913907284768,0.0217435359954834,0.0003800392150878,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,SGDClassifier(random_state=0),0,0.952317880794702,0.0239942073822021,0.0003724098205566,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,none,SGDClassifier(random_state=0),0,0.952317880794702,0.0241830348968505,0.0003802776336669,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,SGDClassifier(random_state=0),0,0.952317880794702,0.0240955352783203,0.0003528594970703,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,SGDClassifier(random_state=0),0,0.952317880794702,0.024332046508789,0.0003693103790283,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,SGDClassifier(random_state=0),1,0.9470198675496688,0.0339100360870361,0.0004019737243652,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,SGDClassifier(random_state=0),3,0.9456233421750664,0.0300877094268798,0.0003888607025146,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,none,SGDClassifier(random_state=0),3,0.9456233421750664,0.029797077178955,0.0003359317779541,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,SGDClassifier(random_state=0),3,0.9456233421750664,0.0316736698150634,0.000385046005249,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,SGDClassifier(random_state=0),3,0.9456233421750664,0.0310263633728027,0.0004885196685791,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,quantile,SGDClassifier(random_state=0),4,0.9456233421750664,0.031386375427246,0.0003759860992431,sick_38_results_SGDClassifier(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,SGDClassifier(random_state=0),3,0.9442970822281168,0.0160963535308837,0.0004258155822753,sick_38_results_SGDClassifier(random_state=0).csv
