Dataset,Imputer Strategy,Categorical Strategy,Feature Selection,Scaler,Classifier,Fold,Fold Accuracy,Training Time,Testing Time,source_csv
sick_38,none,onehot,random_trees_embedding,quantile,SVC(random_state=0),1,0.9735099337748344,0.8252215385437012,0.183823823928833,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,quantile,SVC(random_state=0),0,0.9629139072847682,0.7269289493560791,0.1562345027923584,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,SVC(random_state=0),0,0.9562913907284768,0.9052934646606444,0.198068618774414,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,none,SVC(random_state=0),0,0.9496688741721856,0.6001560688018799,0.1336958408355713,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,minmax,SVC(random_state=0),0,0.9496688741721856,0.5892014503479004,0.133660078048706,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,standard,SVC(random_state=0),0,0.9496688741721856,0.5844826698303223,0.1351315975189209,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,SVC(random_state=0),0,0.9496688741721856,0.7353546619415283,0.158522367477417,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,none,SVC(random_state=0),0,0.9496688741721856,0.7298274040222168,0.1691062450408935,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,minmax,SVC(random_state=0),0,0.9496688741721856,0.7338817119598389,0.1573712825775146,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,robust,SVC(random_state=0),0,0.9496688741721856,0.5920062065124512,0.1355993747711181,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,SVC(random_state=0),0,0.9496688741721856,0.7294700145721436,0.1612570285797119,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,quantile,SVC(random_state=0),4,0.946949602122016,0.7293808460235596,0.1605041027069091,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,SVC(random_state=0),4,0.946949602122016,1.4423201084136963,0.1932015419006347,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,standard,SVC(random_state=0),4,0.940318302387268,0.6503555774688721,0.1396832466125488,sick_38_results_SVC(random_state=0).csv
sick_38,none,onehot,random_trees_embedding,none,SVC(random_state=0),4,0.940318302387268,0.65395188331604,0.1397137641906738,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,robust,SVC(random_state=0),4,0.940318302387268,0.5981183052062988,0.1235935688018798,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,quantile,SVC(random_state=0),3,0.940318302387268,0.8384912014007568,0.1891622543334961,sick_38_results_SVC(random_state=0).csv
sick_38,none,ordinalencoder,random_trees_embedding,standard,SVC(random_state=0),4,0.940318302387268,0.6001195907592773,0.1250944137573242,sick_38_results_SVC(random_state=0).csv
