Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,binarize,fit_prior
sick_38,0,0.847682119205298,0.0064001083374023,0.0016853809356689,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.5796287723439293,0.0,True
sick_38,1,0.8278145695364238,0.0058777332305908,0.0010066032409667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.120556479635711,0.2372276772498267,True
sick_38,0,0.823841059602649,0.005824327468872,0.0009865760803222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1654671574394302,0.1997130771543371,False
sick_38,1,0.8145695364238411,0.00569748878479,0.001596450805664,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6231356322851059,0.0,True
sick_38,4,0.8143236074270557,0.0060019493103027,0.000950813293457,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4717320708509865,0.403407755862793,True
sick_38,4,0.8037135278514589,0.0058124065399169,0.0015854835510253,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.3770977739842938,0.0,True
sick_38,3,0.8023872679045093,0.0058722496032714,0.0009901523590087,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5.275055582872676,0.4826882395913257,True
sick_38,0,0.7973509933774835,0.0058329105377197,0.0012845993041992,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.1434420342162788,0.3602478109774646,False
sick_38,0,0.7973509933774835,0.0058755874633789,0.0010111331939697,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1396849433775359,0.1878986454790752,False
sick_38,0,0.7973509933774835,0.005958080291748,0.0010395050048828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.019210574345131,0.4387498882798328,False
sick_38,0,0.7973509933774835,0.0059101581573486,0.0016403198242187,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2665018155883456,0.2223111683237078,False
sick_38,0,0.7880794701986755,0.0065009593963623,0.0012671947479248,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.1752366346889165,0.0,True
