Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,var_smoothing
autoUniv-au6-1000_1555,3,0.325,0.0015628337860107,0.000317096710205,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.716801450367001e-09
autoUniv-au6-1000_1555,3,0.325,0.001805305480957,0.000309944152832,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.204787092226468e-08
autoUniv-au6-1000_1555,3,0.325,0.0017440319061279,0.0003364086151123,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.033882414607629e-10
autoUniv-au6-1000_1555,3,0.325,0.0017659664154052,0.0002944469451904,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0387855581868608e-08
autoUniv-au6-1000_1555,3,0.325,0.0016078948974609,0.0003151893615722,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.743311771161058e-10
autoUniv-au6-1000_1555,3,0.325,0.0017182826995849,0.0003597736358642,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.272718161465425e-11
autoUniv-au6-1000_1555,3,0.32,0.0017080307006835,0.0003259181976318,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0341613666669687e-11
autoUniv-au6-1000_1555,3,0.32,0.0016007423400878,0.0003209114074707,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9.441265496713335e-09
autoUniv-au6-1000_1555,3,0.315,0.0015475749969482,0.0002946853637695,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.558739415554296e-11
autoUniv-au6-1000_1555,3,0.315,0.001800537109375,0.0003325939178466,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6024132848901866e-11
