Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,hidden_layer_sizes,activation,solver,alpha,learning_rate,learning_rate_init,max_iter,random_state
sick_38,1,0.9668874172185432,13.788245677947998,0.004958152770996,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"(104, 48)",tanh,adam,3.143055540241061e-05,constant,0.0013602677351245,132,0
sick_38,0,0.9576158940397352,22.382631301879883,0.0046901702880859,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"(84, 61, 33)",relu,adam,0.0009429656873883,constant,0.0002921037080068,222,0
sick_38,1,0.9536423841059604,22.10156440734864,0.0048961639404296,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"(117,)",identity,lbfgs,0.0001677097944694,constant,0.0001264369673687,64,0
sick_38,0,0.952317880794702,19.276224613189697,0.0047700405120849,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"(117,)",identity,adam,1.2316662143002134e-05,constant,0.0060113145076829,131,0
sick_38,0,0.952317880794702,16.244627237319946,0.0048332214355468,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"(52,)",identity,adam,8.959565537598108e-05,adaptive,0.0002916316605244,236,0
sick_38,0,0.952317880794702,16.490509748458862,0.0048286914825439,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"(59, 39)",relu,lbfgs,0.000145558925998,adaptive,0.0035754068616762,286,0
sick_38,0,0.952317880794702,16.062649250030518,0.0048589706420898,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"(105, 36)",relu,sgd,4.5579018522268536e-05,constant,0.0006995474341797,203,0
sick_38,0,0.952317880794702,20.65632057189941,0.0049927234649658,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"(70, 74, 25)",relu,adam,0.0005962426511421,constant,0.0025795017080388,95,0
sick_38,4,0.9522546419098143,14.739821434020996,0.0054526329040527,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"(127,)",identity,sgd,0.0004167941419787,constant,0.0005159388669026,173,0
sick_38,4,0.9522546419098143,13.685759782791138,0.0046935081481933,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"(82,)",relu,lbfgs,6.421946147721414e-05,invscaling,0.0016046250931234,220,0
sick_38,4,0.9522546419098143,13.81475019454956,0.0048012733459472,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"(122,)",relu,adam,0.0003269837607703,constant,0.0020565823731482,352,0
