Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,loss,random_state
sick_38,1,0.9668874172185432,0.0159776210784912,0.0003087520599365,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3148630224060222,False,1207,0.0013786258564441,hinge,0
sick_38,0,0.9589403973509932,0.0191876888275146,0.0004045963287353,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.9852971381125597,False,961,0.0032884710568362,squared_hinge,0
sick_38,0,0.9589403973509932,0.0204477310180664,0.0003840923309326,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.320002652285289,True,1412,0.0059746366883437,squared_hinge,0
sick_38,0,0.9589403973509932,0.0191702842712402,0.0004162788391113,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.7119234848666611,True,1469,0.0007539093823398,hinge,0
sick_38,0,0.9589403973509932,0.019343614578247,0.0003969669342041,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4452466639335063,False,746,0.0005080412908021,squared_hinge,0
sick_38,0,0.9576158940397352,0.0196413993835449,0.000413179397583,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7923520537218599,False,1123,0.0001670742202708,hinge,0
sick_38,0,0.9576158940397352,0.0201129913330078,0.0004098415374755,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.1479156864555287,True,928,0.0003478939917794,hinge,0
sick_38,0,0.9576158940397352,0.0194964408874511,0.0003504753112792,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6058590119544717,True,771,0.0006969465342023,squared_hinge,0
sick_38,0,0.9576158940397352,0.0195114612579345,0.0003437995910644,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3712394802621412,True,989,0.000183817356346,hinge,0
sick_38,4,0.9522546419098143,0.0141098499298095,0.0003635883331298,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1153927797913917,True,359,0.0001683789046811,hinge,0
sick_38,4,0.9522546419098143,0.0123000144958496,0.0003550052642822,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.8952205839150719,True,1233,0.0007771034871396,hinge,0
sick_38,4,0.9522546419098143,0.0128498077392578,0.0003275871276855,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.449954348663069,False,1260,0.0005556132343951,squared_hinge,0
sick_38,4,0.9522546419098143,0.0123219490051269,0.0003387928009033,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.3780504076761085,True,1069,0.0049328898982966,hinge,0
sick_38,0,0.9509933774834436,0.01707124710083,0.000335693359375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5.387589031690798,True,1290,0.0001138243603637,hinge,0
sick_38,3,0.9482758620689656,0.0279109477996826,0.0004041194915771,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1704834217673237,True,790,0.003360075979772,hinge,0
sick_38,4,0.9482758620689656,0.0302402973175048,0.0003972053527832,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5580183233188986,True,165,0.0002611654788482,hinge,0
sick_38,1,0.9470198675496688,0.0148937702178955,0.0004384517669677,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.014317991369847,False,856,0.0057418891427406,hinge,0
sick_38,1,0.9470198675496688,0.0150415897369384,0.0003230571746826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8.689889956355453,True,635,0.0003689270193381,hinge,0
sick_38,1,0.9470198675496688,0.0155704021453857,0.0003862380981445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.569753716823226,True,1003,0.0012625148127934,hinge,0
sick_38,1,0.9470198675496688,0.0308682918548584,0.0004341602325439,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.038374934884676,True,1432,0.0003217461701648,hinge,0
autoUniv-au6-1000_1555,3,0.25,0.0234715938568115,0.0003154277801513,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.4215124393941365,True,1089,0.0006666438653664,hinge,0
autoUniv-au6-1000_1555,3,0.25,0.0231359004974365,0.0002417564392089,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.476010647621327,True,923,0.000299504859623,squared_hinge,0
autoUniv-au6-1000_1555,0,0.24,0.0066199302673339,0.0001347064971923,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.005126631147243,False,1333,0.0005574224617519,hinge,0
autoUniv-au6-1000_1555,0,0.24,0.0067324638366699,0.000152587890625,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5135312373799896,True,1508,0.005366804280401,hinge,0
autoUniv-au6-1000_1555,3,0.24,0.0070381164550781,0.0001418590545654,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2110379502988829,False,1133,0.0024510627153714,hinge,0
