Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,max_depth,min_samples_split,min_samples_leaf,random_state,criterion_entropy,criterion_gini,criterion_log_loss,splitter_best,splitter_random,max_features_log2,max_features_sqrt
sick_38,0.9933774834437086,0.0092124938964843,0.0003178119659423,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
sick_38,0.9933774834437086,0.008918285369873,0.0002532005310058,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
sick_38,0.9933774834437086,0.0072357654571533,0.0003433227539062,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
sick_38,0.9933774834437086,0.012477159500122,0.0021669864654541,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
sick_38,0.9933774834437086,0.0076925754547119,0.000251293182373,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sick_38,0.9933774834437086,0.0063912868499755,0.0002083778381347,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
sick_38,0.993368700265252,0.0069098472595214,0.0002453327178955,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
sick_38,0.993368700265252,0.0066444873809814,0.0002326965332031,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
sick_38,0.993368700265252,0.0066251754760742,0.0002317428588867,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
sick_38,0.993368700265252,0.0069532394409179,0.0002257823944091,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
sick_38,0.993368700265252,0.0065119266510009,0.0002162456512451,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1000.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
sick_38,0.9920529801324504,0.0078954696655273,0.0002527236938476,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
sick_38,0.9920529801324504,0.0088751316070556,0.0002460479736328,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
sick_38,0.9920529801324504,0.0065479278564453,0.0002121925354003,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
sick_38,0.9920529801324504,0.0064437389373779,0.0002021789550781,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
sick_38,0.9920529801324504,0.0064547061920166,0.0002110004425048,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
sick_38,0.9920529801324504,0.0079472064971923,0.000272512435913,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
sick_38,0.9920529801324504,0.0064277648925781,0.0002095699310302,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
sick_38,0.9920529801324504,0.0089783668518066,0.0002832412719726,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
sick_38,0.9920424403183024,0.0074703693389892,0.0002448558807373,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.31,0.0157594680786132,0.0003485679626464,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
autoUniv-au6-1000_1555,0.31,0.0145125389099121,0.0003204345703125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
autoUniv-au6-1000_1555,0.31,0.0138406753540039,0.0002267360687255,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.31,0.0138072967529296,0.000223159790039,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
autoUniv-au6-1000_1555,0.305,0.0081837177276611,0.0002455711364746,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.305,0.0078334808349609,0.0001537799835205,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.29,0.0038728713989257,0.0001692771911621,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.29,0.0037951469421386,0.0001487731933593,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
autoUniv-au6-1000_1555,0.285,0.0037126541137695,0.0001528263092041,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.285,0.012958288192749,0.0002577304840087,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.285,0.0038149356842041,0.0001542568206787,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1000.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.285,0.0124063491821289,0.000169038772583,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.27,0.0136806964874267,0.0002696514129638,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
autoUniv-au6-1000_1555,0.27,0.0132272243499755,0.0001540184020996,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
