Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,shrinkage,tol,solver_eigen,solver_lsqr,solver_svd
autoUniv-au6-1000_1555,0.325,0.0017976760864257,0.0001101493835449,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0005366109597863,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.325,0.0019166469573974,0.0001187324523925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,3.0612513736576626e-05,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.325,0.0019383430480957,0.0001144409179687,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0004962233292002,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.325,0.0017783641815185,0.000112771987915,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.002893959286499e-05,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.315,0.0019059181213378,0.0001153945922851,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923788723032424e-05,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.315,0.0017940998077392,0.0001108646392822,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980367976099902e-05,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.315,0.001906394958496,0.0001158714294433,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2042987688714669e-05,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.315,0.0024249553680419,0.0001306533813476,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.606047639970381e-05,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.31,0.0017318725585937,0.0001068115234375,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.09334204039528e-05,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.31,0.0629200935363769,0.0002477169036865,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1939623275555294e-05,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.31,0.0018017292022705,0.0001130104064941,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1652778366761954e-05,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.31,0.0825273990631103,0.0002870559692382,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043125115616628e-05,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.31,0.0018043518066406,0.000112771987915,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.423780669777652e-05,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.31,0.0017712116241455,0.0001089572906494,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9433456771477302,0.0008872252524223,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.31,0.0024137496948242,0.0001511573791503,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.537547941085206e-05,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.31,0.0022201538085937,0.0001323223114013,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001753559821834,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.31,0.0017478466033935,0.0001108646392822,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.866121402406912e-05,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.31,0.0020031929016113,0.0001373291015625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.319199678587573e-05,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.31,0.0024807453155517,0.0001182556152343,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.1702637785868934e-05,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.31,0.0021495819091796,0.0001461505889892,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7776159780156787e-05,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.000894546508789,0.0001411437988281,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0002341539852786,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0011982917785644,0.000152587890625,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0008409624777006,0.0,1.0,0.0
