Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,random_state,loss_hinge,loss_squared_hinge
sick_38,0.9668874172185432,0.0159776210784912,0.0003087520599365,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3148630224060222,0.0,1207.0,0.0013786258564441,0.0,1.0,0.0
sick_38,0.9589403973509932,0.0191876888275146,0.0004045963287353,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.98529713811256,0.0,961.0,0.0032884710568362,0.0,0.0,1.0
sick_38,0.9589403973509932,0.0204477310180664,0.0003840923309326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.320002652285289,1.0,1412.0,0.0059746366883437,0.0,0.0,1.0
sick_38,0.9589403973509932,0.0191702842712402,0.0004162788391113,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7119234848666611,1.0,1469.0,0.0007539093823398,0.0,1.0,0.0
sick_38,0.9589403973509932,0.019343614578247,0.0003969669342041,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4452466639335063,0.0,746.0,0.0005080412908021,0.0,0.0,1.0
sick_38,0.9576158940397352,0.0196413993835449,0.000413179397583,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7923520537218599,0.0,1123.0,0.0001670742202708,0.0,1.0,0.0
sick_38,0.9576158940397352,0.0201129913330078,0.0004098415374755,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1479156864555287,1.0,928.0,0.0003478939917794,0.0,1.0,0.0
sick_38,0.9576158940397352,0.0194964408874511,0.0003504753112792,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6058590119544717,1.0,771.0,0.0006969465342023,0.0,0.0,1.0
sick_38,0.9576158940397352,0.0195114612579345,0.0003437995910644,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3712394802621412,1.0,989.0,0.000183817356346,0.0,1.0,0.0
sick_38,0.9522546419098143,0.0141098499298095,0.0003635883331298,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1153927797913917,1.0,359.0,0.0001683789046811,0.0,1.0,0.0
