Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,reg_param,tol
autoUniv-au6-1000_1555,0.325,0.0015180110931396,0.0002856254577636,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0194787322198869,0.0001624212140126
autoUniv-au6-1000_1555,0.325,0.0016121864318847,0.0003178119659423,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2017510439664034,6.966521999545755e-05
autoUniv-au6-1000_1555,0.325,0.0015599727630615,0.0002877712249755,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0934654085612688,1.6687462453115005e-05
autoUniv-au6-1000_1555,0.325,0.0014898777008056,0.0002815723419189,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15711243239087,0.0002410424124462
autoUniv-au6-1000_1555,0.315,0.0015785694122314,0.0003347396850585,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1143409270614817,0.0005058232927153
autoUniv-au6-1000_1555,0.315,0.0017008781433105,0.0003449916839599,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1438970845694618,1.08412239554714e-05
autoUniv-au6-1000_1555,0.315,0.0016674995422363,0.0003421306610107,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0539841990022194,0.0001965544097446
autoUniv-au6-1000_1555,0.315,0.0015413761138916,0.0003316402435302,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0899577493668501,1.365556594517384e-05
autoUniv-au6-1000_1555,0.31,0.0441341400146484,0.002288818359375,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0480497019206188,0.0007680183936965
autoUniv-au6-1000_1555,0.31,0.027552843093872,0.0021498203277587,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1272788430029495,6.747180003919245e-05
autoUniv-au6-1000_1555,0.31,0.083158254623413,0.0028197765350341,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0371865167314338,2.3478636025563628e-05
autoUniv-au6-1000_1555,0.31,0.0281298160552978,0.0032103061676025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0407675033376552,2.538294611703244e-05
autoUniv-au6-1000_1555,0.31,0.0705354213714599,0.0020978450775146,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1758980078935738,1.5173740513353528e-05
autoUniv-au6-1000_1555,0.31,0.0018477439880371,0.0003612041473388,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.019863126916978,0.0002066720391321
autoUniv-au6-1000_1555,0.31,0.0014748573303222,0.0002830028533935,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0509177618290047,0.0005717670781346
autoUniv-au6-1000_1555,0.31,0.0232818126678466,0.0022037029266357,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851568378341185,5.7800969457928935e-05
autoUniv-au6-1000_1555,0.31,0.0667293071746826,0.0021913051605224,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0143297277705186,0.0001152570169371
autoUniv-au6-1000_1555,0.31,0.0270962715148925,0.0022447109222412,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0948765828489097,3.294565325948554e-05
autoUniv-au6-1000_1555,0.31,0.0646486282348632,0.0021898746490478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0468094498116259,0.0003573098968716
autoUniv-au6-1000_1555,0.31,0.001551866531372,0.0002927780151367,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0241081192166691,0.0001990413068535
analcatdata_creditscore_461,1.0,0.0006549358367919,0.0001473426818847,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0058768973675782,0.0009918781208593
analcatdata_creditscore_461,1.0,0.0007398128509521,0.0001511573791503,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0828488677306743,0.0005040009932329
analcatdata_creditscore_461,1.0,0.0008604526519775,0.000154972076416,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3553153534764336,1.912233760978477e-05
analcatdata_creditscore_461,1.0,0.0007791519165039,0.0001511573791503,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1483762562100757,0.0004877653528883
analcatdata_creditscore_461,1.0,0.000739574432373,0.0001502037048339,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0504460132083184,1.281538008899681e-05
analcatdata_creditscore_461,1.0,0.0014827251434326,0.000868797302246,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0210242988718558,1.989295012199913e-05
analcatdata_creditscore_461,1.0,0.0007176399230957,0.0001485347747802,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1389153805087292,5.8843140394888754e-05
analcatdata_creditscore_461,1.0,0.0007264614105224,0.0001511573791503,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1993005665527408,2.3950293147764648e-05
analcatdata_creditscore_461,1.0,0.0007426738739013,0.0001502037048339,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0423348464202768,3.718466105300612e-05
analcatdata_creditscore_461,1.0,0.0007333755493164,0.0001449584960937,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0064196829188568,0.0002631820369327
analcatdata_creditscore_461,1.0,0.000852346420288,0.0001475811004638,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0965567629409749,0.0001323634408739
analcatdata_creditscore_461,1.0,0.0008490085601806,0.0002179145812988,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0096175277833406,6.279648672079497e-05
analcatdata_creditscore_461,1.0,0.0006866455078125,0.000150442123413,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0190637846984365,0.0001958974621835
analcatdata_creditscore_461,1.0,0.0006718635559082,0.0001411437988281,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0004408333495951,1.0009185025788656e-05
analcatdata_creditscore_461,1.0,0.0007407665252685,0.0001916885375976,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0302314799236283,0.00057276660908
analcatdata_creditscore_461,1.0,0.0006473064422607,0.000138521194458,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1434617296844361,6.147854726596118e-05
analcatdata_creditscore_461,1.0,0.000734806060791,0.0001428127288818,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1718860944008371,9.507783159089905e-05
analcatdata_creditscore_461,1.0,0.0007259845733642,0.0001499652862548,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2959272248842596,1.7152499810495113e-05
analcatdata_creditscore_461,1.0,0.000770092010498,0.0001482963562011,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1730383997924903,0.0003269990498422
analcatdata_creditscore_461,1.0,0.0009691715240478,0.0001544952392578,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.023734986727995,0.0009773432722162
sa-heart_1498,0.782608695652174,0.0008447170257568,0.0001757144927978,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0741274240897469,0.0003409264854731
sa-heart_1498,0.782608695652174,0.0007445812225341,0.0001666545867919,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0883940202111157,1.901440667197175e-05
sa-heart_1498,0.782608695652174,0.0007460117340087,0.0001633167266845,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0136398333246277,0.0007243700525717
sa-heart_1498,0.782608695652174,0.0008027553558349,0.000185489654541,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0571712168640816,0.0001475551677397
sa-heart_1498,0.782608695652174,0.0007784366607666,0.0001628398895263,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0364315795873699,0.0005396284369066
sa-heart_1498,0.782608695652174,0.0007827281951904,0.0001688003540039,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1397724053549847,6.986114339811906e-05
