Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,degree,gamma,coef0,shrinking,tol,random_state,kernel_linear,kernel_poly,kernel_rbf,kernel_sigmoid
sick_38,0.9735099337748344,0.8252215385437012,0.183823823928833,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.160969615612744,2.0,-1.0,0.2880923428724518,0.0,0.0008906293501664,0.0,1.0,0.0,0.0,0.0
sick_38,0.9629139072847682,0.7269289493560791,0.1562345027923584,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4490595412806977,4.0,-2.0,-0.1199164506192021,1.0,0.0001250462671697,0.0,0.0,1.0,0.0,0.0
sick_38,0.9562913907284768,0.9052934646606444,0.198068618774414,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1181288223769169,2.0,-1.0,-0.0522080879586348,1.0,0.0034380734846719,0.0,1.0,0.0,0.0,0.0
sick_38,0.9496688741721856,0.6001560688018799,0.1336958408355713,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.263006311903057,4.0,-2.0,0.2002886734138071,1.0,0.0001413530035005,0.0,0.0,0.0,0.0,1.0
sick_38,0.9496688741721856,0.5892014503479004,0.133660078048706,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766617490553462,3.0,-2.0,-0.9620586997840312,1.0,0.000409905321669,0.0,0.0,0.0,0.0,1.0
sick_38,0.9496688741721856,0.5844826698303223,0.1351315975189209,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7830350297944788,4.0,-1.0,0.1840534547907319,0.0,0.0007377613689881,0.0,0.0,0.0,0.0,1.0
sick_38,0.9496688741721856,0.7353546619415283,0.158522367477417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.903386183663826,4.0,-1.0,0.3719437754164535,0.0,0.0014706986748218,0.0,0.0,0.0,1.0,0.0
sick_38,0.9496688741721856,0.7298274040222168,0.1691062450408935,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3578228425368287,3.0,-1.0,-0.176726711875695,1.0,0.0041195244602996,0.0,0.0,1.0,0.0,0.0
sick_38,0.9496688741721856,0.7338817119598389,0.1573712825775146,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.384251336949635,5.0,-1.0,0.1407191275703113,1.0,0.0001647895621647,0.0,0.0,0.0,1.0,0.0
sick_38,0.9496688741721856,0.5920062065124512,0.1355993747711181,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1340269573095152,3.0,0.0199032738134152,0.2726050472602853,1.0,0.0001213383656253,0.0,0.0,0.0,0.0,1.0
