Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
sick_38,0,0.9933774834437086,0.3424632549285888,0.0039141178131103,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.9933774834437086,0.3092536926269531,0.0036945343017578,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.9933774834437086,0.3155026435852051,0.004246711730957,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sick_38,0,0.9933774834437086,0.3545529842376709,0.0041780471801757,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
sick_38,0,0.9933774834437086,0.3803293704986572,0.0036444664001464,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
sick_38,0,0.9933774834437086,0.3367409706115722,0.0038306713104248,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sick_38,0,0.9933774834437086,0.2969741821289062,0.0043108463287353,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.9933774834437086,0.3411087989807129,0.0039405822753906,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.9933774834437086,0.3278820514678955,0.004012107849121,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sick_38,0,0.9933774834437086,0.3516087532043457,0.0062181949615478,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
sick_38,0,0.9920529801324504,0.4631738662719726,0.0036327838897705,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
sick_38,0,0.9920529801324504,0.419339656829834,0.0039246082305908,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.9920529801324504,0.4083306789398193,0.0042130947113037,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.9920529801324504,0.4116668701171875,0.0038814544677734,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
sick_38,0,0.9920529801324504,0.3997554779052734,0.0036921501159667,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
sick_38,0,0.990728476821192,0.3055534362792969,0.00347900390625,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.990728476821192,0.3144950866699219,0.0036532878875732,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sick_38,0,0.990728476821192,0.3452942371368408,0.0045137405395507,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sick_38,0,0.990728476821192,0.330979585647583,0.0038580894470214,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.990728476821192,0.3306162357330322,0.0044803619384765,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.325,2.314239025115967,0.015446662902832,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.325,2.3005199432373047,0.0168218612670898,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.325,2.315337657928467,0.0147264003753662,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.325,2.360247850418091,0.0191333293914794,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.32,18.480372428894043,0.0154218673706054,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.32,22.376064777374268,0.0164794921875,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,1,0.315,2.4957993030548096,0.015228271484375,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,1,0.315,2.385449409484864,0.0133833885192871,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.2166273593902588,0.0137548446655273,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.2705848217010498,0.0160143375396728,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.2705535888671875,0.0150625705718994,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.31,0.2468831539154052,0.0109305381774902,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.305,5.237204074859619,0.0184659957885742,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.305,2.41536545753479,0.0145089626312255,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.305,2.45607328414917,0.0148885250091552,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.305,2.4530367851257324,0.0160832405090332,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.305,2.407740831375122,0.0174648761749267,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
