Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
sick_38,1,0.9668874172185432,13.788245677947998,0.004958152770996,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,0,0.9576158940397352,22.382631301879883,0.0046901702880859,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,1,0.9536423841059604,22.10156440734864,0.0048961639404296,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,0,0.952317880794702,19.276224613189697,0.0047700405120849,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sick_38,0,0.952317880794702,16.244627237319946,0.0048332214355468,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sick_38,0,0.952317880794702,16.490509748458862,0.0048286914825439,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.952317880794702,16.062649250030518,0.0048589706420898,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.952317880794702,20.65632057189941,0.0049927234649658,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,4,0.9522546419098143,14.739821434020996,0.0054526329040527,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sick_38,4,0.9522546419098143,13.685759782791138,0.0046935081481933,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sick_38,4,0.9522546419098143,13.81475019454956,0.0048012733459472,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sick_38,4,0.9522546419098143,14.1939594745636,0.0048158168792724,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,1,0.9483443708609272,13.071999073028564,0.0048439502716064,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,1,0.9483443708609272,13.349324226379396,0.0048487186431884,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
sick_38,1,0.9483443708609272,12.982035160064695,0.0048415660858154,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sick_38,1,0.9483443708609272,13.387335538864136,0.004967451095581,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sick_38,4,0.946949602122016,20.56005358695984,0.0049374103546142,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sick_38,0,0.9456953642384106,11.318572759628296,0.0050296783447265,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sick_38,0,0.9456953642384106,11.216388702392578,0.0047724246978759,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sick_38,0,0.9456953642384106,10.663153886795044,0.0048329830169677,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.325,0.4114291667938232,0.0002987384796142,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.325,0.4239773750305176,0.0002901554107666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.32,0.3732731342315674,0.0003435611724853,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
